Customer,Order_Quantity,Gender,Married,Income,Loyalty
108,234.73,1,0,3,1
109,191.47,0,0,4,1
110,202.8,1,1,3,1
111,199.54,0,0,6,1
112,225.15,0,1,6,0
113,264.65,1,1,2,1
114,289.48,1,0,4,1
115,282.15,1,1,2,0
116,109.99,0,0,4,0
117,125.21,0,0,5,1
118,140.44,0,0,5,1
119,245.11,0,0,3,0
120,179.03,0,0,4,0
121,236.81,0,0,4,1
122,313.79,0,0,6,1
123,288.14,1,0,3,0
124,348.34,1,1,5,0
125,256.58,0,0,5,1
126,203.17,0,0,6,1
127,238.14,1,1,5,0
128,235.86,1,0,4,0
129,175.06,0,0,3,1
130,201.55,0,0,5,0
131,165.05,0,1,1,0
132,311.57,1,0,2,1
133,236.88,0,1,5,1
134,216.79,0,0,4,1
135,232.7,0,0,5,1
136,304.41,1,0,1,1
137,211.74,0,0,2,1
138,252.01,1,0,3,1
139,327.28,0,1,3,1
140,204.31,0,0,3,1
141,165.44,0,0,1,1
142,256.45,1,1,3,1
143,214.36,1,0,4,0
144,402.44,1,0,3,0
145,152.58,0,0,2,0
146,194.21,0,0,3,1
147,177.01,0,0,1,1
148,223.65,1,0,1,1
149,243.14,1,1,2,1
150,234.85,0,1,5,1
151,264.87,1,0,6,1
152,286.7,0,1,4,1
153,199.62,0,0,3,0
154,126.88,1,1,2,1
155,358.04,0,0,3,0
156,219.41,1,0,6,1
157,331.52,0,1,6,0
158,191.96,0,0,5,1
159,220.77,1,0,5,1
160,209.35,0,0,2,1
161,270.72,1,0,5,1
162,210.47,1,0,2,0
163,400.01,0,0,4,1
164,191.16,1,0,1,1
165,381.94,1,0,3,1
166,172.75,1,0,2,1
167,136.11,1,0,1,1
168,274.46,0,1,4,1
169,172.41,1,1,3,1
170,311.79,0,0,5,1
171,218.6,0,0,5,1
172,248.99,1,0,3,1
173,194.42,1,0,4,0
174,298.62,0,0,5,1
175,225.91,0,0,4,1
176,358.06,1,0,6,0
177,135.19,1,1,2,1
178,286.45,1,0,5,1
179,187.61,0,0,3,1
180,420.76,1,1,4,1
181,200.54,0,0,4,1
182,252.12,0,0,3,0
183,173.57,1,0,1,0
184,392.65,0,0,4,1
185,127.42,0,0,2,1
186,73.65,0,1,1,1
187,234.65,0,1,3,1
188,326.82,0,0,3,1
189,259.45,0,0,2,1
190,323.32,0,0,2,1
191,330.76,1,0,4,1
192,217.35,1,1,5,0
193,217.27,1,1,3,1
194,279.72,1,1,4,1
195,148.57,1,0,4,0
196,221.99,0,0,4,1
197,146.96,0,0,3,1
198,165.05,1,0,4,0
199,216.63,0,0,5,1
200,185.54,1,1,3,1
201,181.78,1,0,5,1
202,183.96,1,0,4,1
203,237.23,0,1,5,1
204,143.5,0,0,5,1
205,262.1,1,1,3,0
206,245.5,0,0,3,1
207,170.58,1,0,5,1
208,302.93,1,0,4,1
209,362.09,1,1,6,1
210,179.77,0,1,2,1
211,348.35,0,1,2,1
212,219.32,1,0,3,1
213,204.52,0,0,3,1
214,232.62,0,0,4,1
215,216.59,0,0,4,0
216,194.63,0,0,3,0
217,211.55,0,0,4,1
218,185.44,1,0,3,1
219,461.21,1,0,4,1
220,216.64,0,0,1,1
221,160.41,0,1,2,1
222,291.52,1,0,4,1
223,230.73,1,0,4,1
224,230.43,0,0,2,1
225,216.17,1,0,5,1
226,153.1,0,0,1,1
227,275.52,1,0,6,1
228,186.59,1,1,3,0
229,209.41,0,0,4,0
230,184.98,1,0,3,1
231,307.12,1,0,1,0
232,219.3,0,0,4,0
233,248.56,1,0,4,1
234,339.98,0,0,2,0
235,305.98,0,0,5,1
236,161.22,0,0,3,1
237,246.53,0,0,2,1
238,339.99,1,0,4,1
239,334.39,1,0,2,1
240,236.19,1,0,5,1
241,145.83,0,0,3,1
242,157.05,0,0,3,1
243,318.12,1,0,5,1
244,381.89,1,0,3,0
245,207.88,1,0,5,1
246,255.86,1,0,3,0
247,241.41,0,0,4,1
248,356.44,0,0,5,0
249,308.84,0,0,6,0
250,269.98,1,1,5,0
251,186.53,0,0,3,1
252,132.93,0,1,3,0
253,195.22,0,0,5,0
254,352.27,1,0,4,1
255,164.8,0,1,2,1
256,479.85,1,0,5,0
257,144.16,1,0,2,0
258,242.6,0,1,4,1
259,129.83,1,0,2,1
260,124.36,0,1,2,1
261,281.58,1,0,5,1
262,322.12,0,1,5,0
263,242.74,1,0,4,0
264,101.75,1,0,1,0
265,241.69,0,0,4,1
266,221.03,0,0,2,1
267,212.15,0,0,2,1
268,225.09,1,0,3,1
269,359.83,1,1,4,1
270,204.11,0,1,2,1
271,245.38,1,0,5,0
272,279.68,0,0,5,1
273,150.95,0,0,4,1
274,262.31,1,1,3,0
275,287.83,1,1,5,1
276,316.81,1,0,6,0
277,266.63,1,1,5,0
278,199.33,1,0,4,0
279,331.83,1,0,4,1
280,369.93,0,0,4,1
281,313.71,1,0,5,1
282,233.33,0,0,2,1
283,261.29,0,1,3,1
284,131.39,1,0,2,0
285,213.63,1,0,3,1
286,293.62,0,0,5,1
287,227.31,0,0,6,1
288,171.72,0,0,2,0
289,300.01,1,0,5,1
290,301.53,1,1,3,1
291,350.63,1,0,3,1
292,261.91,0,0,4,1
293,289.88,0,0,2,1
294,229.46,0,0,4,1
295,127.89,1,0,1,1
296,225.12,1,0,6,0
297,152.01,0,0,3,1
298,288.87,1,1,5,1
299,313.91,0,1,3,1
300,402.75,1,1,2,1
301,181.03,1,0,2,1
302,162.11,0,1,3,1
303,319.75,0,0,4,0
304,74.32,1,1,1,0
305,276.1,0,0,6,1
306,215.64,0,1,5,0
307,252.22,1,0,3,0
308,369.98,1,0,6,1
309,222.22,1,0,3,1
310,222.2,0,0,6,0
311,415.89,0,1,3,1
312,145.5,0,0,4,0
313,194.9,0,0,3,1
314,187.66,1,0,6,0
315,324.39,1,0,4,0
316,176.73,0,0,2,1
317,258.94,1,1,4,0
318,173.96,0,0,5,1
319,214.35,0,0,2,1
320,264.01,1,0,3,1
321,123.9,1,0,2,1
322,263.68,0,1,2,1
323,227.53,1,0,4,1
324,151.26,0,0,3,0
325,188.43,1,0,3,1
326,208.99,1,0,4,0
327,137.05,1,0,1,0
328,171,1,0,1,1
329,200.7,1,0,3,1
330,286.72,1,0,5,1
331,190.39,1,1,4,1
332,165.63,0,0,2,1
333,150.4,0,0,2,1
334,227.54,0,0,6,1
335,174.76,0,0,6,0
336,119.97,1,0,1,1
337,391.84,0,0,4,1
338,164.59,1,0,3,1
339,163.74,0,1,1,1
340,167.43,0,1,4,0
341,137.89,0,0,1,1
342,209.14,1,0,3,1
343,200.58,0,0,5,0
344,276.14,1,0,4,1
345,299.79,0,0,1,0
346,171.03,1,1,5,0
347,264.07,1,0,5,0
348,170.97,1,1,2,1
349,238.78,1,0,5,1
350,287.35,1,1,6,1
351,194.22,1,1,6,1
352,120.15,0,0,1,0
353,189.64,1,1,3,1
354,122.54,0,0,1,0
355,268.3,0,1,6,1
356,184.57,1,0,2,0
357,215.37,1,0,2,1
358,389.41,1,0,6,1
359,172.15,1,0,2,1
360,179.72,0,0,4,1
361,207.85,1,0,2,0
362,207.81,1,0,3,1
363,356.8,0,0,5,1
364,161.84,0,0,6,1
365,259.58,0,0,4,0
366,401.88,0,1,5,0
367,222.94,1,0,2,1
368,192.94,0,1,6,1
369,162.25,1,1,4,0
370,307.33,0,0,3,0
371,117.68,0,0,6,1
372,208.31,1,0,2,0
373,184.46,1,1,1,0
374,321.88,0,1,6,1
375,264.91,1,0,6,1
376,243.03,1,0,4,1
377,215.05,0,1,3,1
