Profit99,Online99,Age99,Inc99,Tenure99,District99,ID
-91,0,,,3,1200,144
52,0,,,8.25,1200,145
198,0,,,10.16,1200,146
565,1,2,9,3.66,1200,147
23,0,5,6,26.75,1200,148
-60,0,3,7,5.91,1200,149
-33,0,,,11.58,1300,150
-9,0,,,1,1200,151
-19,0,,,4.41,1200,152
439,0,6,3,25.83,1200,153
167,0,6,6,30.08,1200,154
-63,0,6,3,2.16,1200,155
-25,0,6,6,5.41,1200,156
338,0,,,6.16,1200,157
78,0,4,6,7,1200,158
459,0,2,5,4,1300,159
-52,0,,,11.25,1300,160
136,0,,,2.75,1200,161
16,0,3,7,7.08,1200,162
-68,0,,7,9.08,1200,163
441,0,,,7.91,1200,164
263,0,7,6,14.33,1200,165
-59,0,5,5,3.58,1200,166
69,0,3,5,1,1200,167
-25,0,3,8,4.25,1200,168
639,0,4,9,15.41,1200,169
896,0,3,6,13.58,1200,170
-58,0,,,3.66,1200,171
642,0,2,6,5.16,1200,172
-37,0,5,1,20.41,1100,173
-28,0,,,3.75,1200,174
136,0,,,29.25,1100,175
49,0,4,1,5.08,1300,176
10,0,,,0.16,1200,177
-120,1,,,13.83,1200,178
-80,0,,2,7.08,1200,179
498,1,7,3,26.41,1200,180
402,0,3,6,0.75,1200,181
439,0,5,5,3.75,1200,182
308,0,7,3,2.33,1200,183
0,0,5,5,10.5,1200,184
-19,1,3,7,1.41,1200,185
283,1,,,19.5,1200,186
92,0,2,7,10.08,1200,187
14,0,4,5,21.41,1200,188
177,0,7,2,8.91,1200,189
14,0,2,9,5.08,1200,190
-40,1,3,6,3.66,1200,191
216,0,3,8,5,1200,192
-107,0,,,4.5,1100,193
-37,0,2,6,6.58,1300,194
33,0,3,1,2.41,1200,195
22,0,,,17.66,1200,196
-65,0,4,7,9.75,1200,197
-17,1,4,5,13.16,1300,198
-26,0,,,4.33,1200,199
126,0,2,8,4.91,1200,200
382,0,4,6,14.91,1200,201
5,0,5,3,22.5,1100,202
-88,0,2,6,7.75,1200,203
204,0,7,2,15.16,1200,204
170,0,5,5,5,1200,205
-24,0,5,4,20.58,1200,206
-24,0,,,2.91,1300,207
273,0,5,9,30.08,1200,208
404,0,4,6,3.5,1200,209
-10,1,4,6,4.5,1300,210
98,0,7,1,18.16,1200,211
11,0,3,7,1.91,1300,212
-17,0,7,9,27.25,1200,213
1,0,1,7,2.75,1100,214
-179,1,4,6,11.08,1200,215
0,1,,,4.91,1200,216
-33,0,2,1,5.16,1200,217
746,1,4,3,18.25,1200,218
175,0,,,13.66,1200,219
-110,0,2,6,5.75,1200,220
7,0,7,6,22.08,1200,221
259,0,7,1,16.16,1200,222
44,0,,,5.33,1200,223
160,0,4,5,25.33,1200,224
246,0,,,16.58,1200,225
73,0,7,5,8.25,1200,226
-78,0,3,4,4.58,1200,227
177,0,4,6,4.16,1200,228
13,0,,,4.5,1100,229
-1,0,,,12,1200,230
401,0,,,4.66,1200,231
335,0,4,6,5.25,1200,232
-109,0,,,9.16,1200,233
1088,0,6,4,26.91,1200,234
-30,1,2,,5.08,1200,235
-10,0,4,6,15.33,1200,236
400,0,7,7,9,1300,237
285,0,2,3,11.41,1200,238
165,0,,,4.41,1300,239
128,0,3,,2.25,1200,240
-27,1,2,6,0.5,1200,241
-48,0,3,7,1.5,1200,242
1517,0,4,9,21.83,1200,243
-59,0,7,3,9.75,1200,244
76,0,,,8.5,1200,245
-19,0,,,2.08,1200,246
10,0,,,4.08,1200,247
45,0,3,5,11.25,1200,248
157,1,5,6,26.33,1200,249
563,0,5,6,0.83,1200,250
-95,0,4,9,17.75,1200,251
-69,0,7,4,11.41,1200,252
-16,0,,,3.41,1200,253
-97,0,4,9,19.66,1200,254
721,0,5,1,18.33,1200,255
-24,0,2,1,0.66,1200,256
-16,0,7,3,0.58,1200,257
-76,0,6,3,1.58,1300,258
-50,0,,,4,1200,259
-36,0,,,2.25,1200,260
417,0,7,2,0.16,1200,261
-184,0,,,17.08,1100,262
75,0,2,6,6.25,1300,263
135,0,,,7,1200,264
206,0,3,4,6.25,1200,265
-15,0,4,8,5.08,1300,266
109,0,,8,18.5,1200,267
59,0,5,8,5.25,1200,268
-34,0,3,9,13.5,1200,269
-32,0,1,,2.75,1300,270
95,0,,,18.33,1300,271
609,0,4,4,27.08,1200,272
-7,0,4,6,1.75,1200,273
-211,0,4,6,13.33,1200,274
-150,0,1,4,2.5,1100,275
-9,0,,,1.66,1200,276
92,0,5,4,29.66,1200,277
193,0,5,8,21.41,1200,278
367,0,7,9,3.25,1200,279
244,0,7,6,10.66,1200,280
-111,0,4,4,7.08,1200,281
-3,0,2,2,7.25,1200,282
245,0,2,1,5.41,1100,283
-15,0,2,1,4.25,1200,284
-76,0,7,1,30.91,1300,285
490,1,4,9,5.58,1200,286
-2,0,,,5.66,1300,287
-27,0,,,13.41,1200,288
19,0,6,6,9.83,1200,289
326,0,,,3.5,1200,290
117,0,7,6,6.5,1200,291
755,0,7,3,10.58,1200,292
0,0,2,1,14.91,1200,293
23,0,,,1.58,1200,294
-60,0,6,8,9,1200,295
15,0,,,1.08,1200,296
-23,0,5,5,5.16,1200,297
-26,0,4,3,18.16,1200,298
24,1,1,6,11,1200,299
-16,1,3,6,9.83,1200,300
184,0,2,9,4.16,1300,301
321,1,3,8,21.08,1200,302
-8,0,3,5,9.66,1100,303
-40,0,,,3.66,1200,304
-127,0,4,9,24.75,1200,305
125,0,6,3,26.58,1200,306
84,0,3,5,6.08,1300,307
-29,0,7,6,3.83,1200,308
-37,0,2,2,4.16,1200,309
-94,1,4,6,12.91,1200,310
63,0,4,6,23.66,1200,311
15,0,,,2.33,1200,312
-34,0,,3,4.33,1200,313
49,0,6,3,26.83,1200,314
24,0,5,7,35.08,1200,315
672,0,3,9,5.66,1200,316
-25,0,,,3.41,1200,317
135,0,4,6,6.58,1200,318
-38,0,4,8,24.91,1200,319
4,0,,,21.16,1200,320
-33,0,,,17,1200,321
-40,0,,,24.08,1200,322
107,0,3,8,4.66,1300,323
89,1,,,16.5,1200,324
-25,0,,,5.58,1200,325
-84,0,,,12.91,1200,326
35,0,2,6,1.58,1200,327
-22,0,,,2.58,1300,328
-25,0,7,9,11.08,1100,329
80,0,,,10.41,1300,330
254,0,4,2,7.16,1100,331
460,1,4,9,16.16,1200,332
12,0,4,6,7,1200,333
73,0,,,0.5,1200,334
92,0,3,1,3.83,1100,335
-48,0,3,6,5.16,1200,336
551,0,4,9,5.16,1200,337
-22,0,4,4,6.58,1100,338
292,0,2,8,8.33,1200,339
-24,0,4,6,6.5,1200,340
-9,0,5,7,4.91,1200,341
151,0,,,16.58,1200,342
-65,0,,,7.66,1200,343
-25,0,7,5,12.16,1200,344
-47,0,,,4.91,1200,345
237,0,1,1,0.83,1300,346
-26,1,4,6,4.16,1200,347
-45,0,3,4,1.58,1200,348
-5,0,,,27.83,1200,349
372,0,2,9,4.75,1200,350
686,0,4,9,2.41,1200,351
-120,0,4,6,14.08,1200,352
479,0,3,7,2.41,1200,353
29,0,,,1.5,1300,354
-40,0,7,9,1.66,1200,355
-95,0,2,4,4.91,1200,356
-61,0,5,3,18.58,1200,357
-103,0,4,9,32.5,1200,358
48,0,3,8,7.91,1300,359
1276,1,,,4.58,1200,360
-165,0,,,15.5,1200,361
1003,1,5,5,21.91,1200,362
-20,0,3,3,4.33,1200,363
272,0,3,9,17.08,1200,364
378,0,4,7,27.25,1200,365
-37,0,,,1.58,1300,366
-31,0,4,6,0.5,1200,367
-61,0,3,3,6.66,1100,368
-33,0,6,6,0.5,1200,369
-37,0,3,3,1.5,1200,370
572,0,5,9,9.83,1200,371
112,0,3,7,5.41,1200,372
-35,1,5,7,5.5,1200,373
1227,0,,,10.83,1200,374
-133,0,,,23.25,1300,375
210,1,3,7,17.5,1200,376
195,0,4,7,10.75,1200,377
-36,0,,,12.5,1200,378
1,0,1,,4.16,1300,379
51,0,,,10.41,1200,380
1052,0,,,40.66,1200,381
-41,0,5,6,18.58,1200,382
1,0,4,5,13.5,1200,383
210,0,4,9,13.66,1200,384
152,1,3,5,5.58,1200,385
223,0,7,6,11.58,1200,386
404,1,2,9,5.91,1200,387
-95,0,4,6,3.41,1300,388
161,0,,,12.41,1300,389
-181,0,4,4,18.41,1300,390
486,0,2,6,6.91,1300,391
-6,1,2,6,7.33,1200,392
-202,0,3,8,13.91,1200,393
-30,0,2,3,3.58,1200,394
295,0,3,6,4.83,1200,395
-24,0,4,6,2.58,1200,396
41,0,7,4,7.25,1100,397
-149,1,4,7,29.33,1200,398
-131,0,,,27.41,1100,399
416,0,7,4,2.83,1300,400
-43,1,,,3.83,1200,401
430,0,4,5,9.66,1200,402
-149,0,3,5,7.41,1100,403
48,0,4,4,8.16,1200,404
-6,0,7,3,7.41,1200,405
-51,0,4,6,4.75,1100,406
-29,0,,,4.33,1200,407
3,0,4,6,21.08,1200,408
-52,0,4,4,22.33,1300,409
163,0,5,7,17.5,1200,410
-20,0,3,6,19.33,1200,411
153,0,5,3,10.5,1200,412
-49,0,,,9.83,1200,413
223,0,,,12.08,1200,414
503,0,6,4,15.08,1200,415
119,0,2,4,6.33,1100,416
480,1,3,7,9.66,1200,417
-38,0,,1,2.5,1200,418
-1,0,2,1,7.91,1200,419
-40,0,,,6.75,1200,420
-70,0,7,1,21.66,1200,421
552,0,3,9,10.33,1200,422
109,0,5,9,15.66,1200,423
115,0,6,7,5.66,1100,424
-30,0,3,5,4.75,1200,425
314,0,4,2,26,1200,426
285,0,6,9,19.16,1200,427
-7,1,2,1,2.83,1200,428
-66,0,6,6,13.58,1200,429
-56,0,,1,1.58,1100,430
392,0,4,8,7.41,1200,431
-112,0,6,3,11.08,1100,432
-48,0,,,8.33,1300,433
784,0,7,6,15.66,1200,434
-59,0,,,4.91,1300,435
1818,0,7,1,30.08,1200,436
33,0,4,1,3.08,1100,437
-21,0,,,1.58,1300,438
8,0,,,17.25,1200,439
457,0,4,6,5.91,1200,440
-79,0,6,3,22.5,1300,441
138,0,1,2,7.33,1200,442
129,0,,,10.83,1100,443
-27,0,3,6,2.41,1200,444
141,0,2,4,6,1300,445
110,0,7,4,19.83,1300,446
107,0,6,7,27.66,1200,447
-7,0,,,17,1200,448
94,0,3,5,6.83,1200,449
48,0,2,3,3.33,1200,450
-9,0,4,1,5,1100,451
-39,1,,,10.66,1200,452
-32,0,,,2.08,1200,453
111,0,4,2,14.75,1100,454
381,0,5,9,5.25,1300,455
-30,0,,,1.33,1100,456
-17,0,2,6,6.66,1200,457
30,0,7,1,20,1200,458
442,1,2,4,8.33,1200,459
720,0,7,4,19.33,1300,460
210,0,3,8,7,1200,461
-54,0,,,33.83,1100,462
-2,0,4,6,6.58,1100,463
-29,0,6,,4.66,1300,464
-1,0,,,3.91,1200,465
-3,0,3,1,6.16,1200,466
-53,0,7,6,12,1200,467
103,0,6,3,10.5,1200,468
300,0,3,9,16.33,1200,469
146,0,7,9,0.91,1200,470
145,0,5,5,28,1200,471
-26,0,,,9.66,1200,472
58,0,1,6,4.83,1200,473
8,0,2,7,5.91,1200,474
380,0,,,1.66,1300,475
-119,0,,,4.33,1300,476
359,0,4,6,2.41,1200,477
0,0,6,5,7.33,1200,478
-4,1,5,6,11.25,1200,479
14,0,,,1,1200,480
795,0,7,9,10.91,1200,481
-21,0,,6,22.33,1200,482
-33,0,6,4,6.83,1300,483
350,1,,,1.75,1200,484
95,1,4,7,7.75,1200,485
677,0,,,37.41,1200,486
6,0,7,6,7.58,1200,487
-12,0,2,1,10.5,1100,488
-3,0,7,7,3.75,1300,489
61,0,7,3,18.25,1200,490
-7,0,7,6,19.25,1200,491
8,0,,,11.33,1200,492
558,0,2,2,1.66,1200,493
194,0,,,4.66,1200,494
10,0,,,5.83,1200,495
96,0,5,6,29.66,1200,496
258,0,3,6,10.33,1200,497
184,1,4,5,33.5,1300,498
-72,0,7,1,10.41,1200,499
827,0,3,6,14.75,1200,500
785,0,,,34.25,1300,501
-34,0,4,3,30.91,1300,502
13,0,4,2,0.75,1200,503
-21,0,4,6,19.41,1200,504
-9,0,,,7.58,1200,505
127,0,3,5,6,1200,506
-29,0,2,6,2.33,1200,507
297,0,2,4,9,1200,508
14,0,,,0.5,1300,509
-82,0,7,4,13.33,1200,510
-34,0,7,6,7.58,1200,511
99,0,6,5,11.41,1200,512
-145,0,4,6,4.5,1200,513
-2,0,,,1,1100,514
9,0,3,9,9.75,1200,515
76,0,4,8,18.58,1200,516
116,0,3,9,33.75,1200,517
116,0,,,3.16,1200,518
-118,0,4,9,11.25,1200,519
172,0,,,22.83,1200,520
487,0,,,5.08,1200,521
-22,1,2,3,6.33,1200,522
-48,0,2,4,4.66,1100,523
147,0,3,5,4.08,1300,524
49,0,5,9,1.66,1200,525
610,0,6,6,6.75,1100,526
523,0,,,12.83,1200,527
125,1,,,4.58,1200,528
205,0,3,6,7.16,1200,529
922,0,4,9,3.91,1200,530
-78,0,2,7,9.66,1200,531
222,0,6,2,3.33,1300,532
37,0,7,2,28.58,1200,533
-72,0,,,10.66,1200,534
63,0,,,8.58,1200,535
125,0,4,3,6.33,1200,536
-148,0,6,8,11.5,1200,537
1364,0,,,26.08,1100,538
-28,0,,,9.5,1300,539
-35,0,,1,6,1200,540
-33,0,3,6,13.5,1200,541
17,0,3,8,3.33,1200,542
107,0,7,9,4.91,1200,543
236,0,7,9,14.16,1200,544
124,0,4,9,5.66,1200,545
-31,0,2,1,12.25,1100,546
-6,0,,,2.66,1100,547
-18,0,5,6,28.33,1200,548
-30,0,4,5,1.66,1300,549
-3,0,3,8,3.25,1200,550
-94,1,,,22.08,1200,551
-32,0,,,4.66,1200,552
-26,0,6,5,6.75,1300,553
-56,0,,,3.66,1200,554
-31,0,,,5.58,1200,555
257,1,4,6,2.08,1200,556
275,0,7,3,5.08,1100,557
491,0,,,4.25,1200,558
92,0,2,6,2.33,1200,559
1362,0,,,16.91,1200,560
226,0,6,6,3.91,1200,561
-58,0,4,5,3.66,1100,562
377,1,,,3.83,1200,563
10,0,6,6,33.41,1200,564
-104,0,3,5,5.5,1200,565
51,1,6,5,0.66,1200,566
-59,0,,,15.75,1200,567
10,0,4,7,18.41,1300,568
9,0,1,3,5.33,1300,569
-69,1,5,6,14.08,1200,570
11,0,,,5.75,1200,571
-50,0,4,5,4.25,1200,572
54,0,,,6.16,1200,573
379,0,2,8,4.41,1200,574
-56,0,,,1.33,1200,575
0,0,,,7.25,1300,576
105,0,,,22.41,1200,577
516,0,3,7,22.16,1200,578
531,0,5,1,13.08,1200,579
-113,0,2,8,4.75,1200,580
767,0,6,2,25.41,1200,581
736,0,4,7,17.83,1200,582
120,0,3,8,1.25,1200,583
-28,0,3,7,19.83,1200,584
-55,0,,,11.5,1300,585
152,0,3,5,5,1100,586
-4,0,4,4,3.5,1200,587
-37,0,,,1.41,1200,588
-47,0,,,3,1200,589
-37,0,4,3,17.91,1200,590
-39,0,,,6.58,1200,591
159,0,3,,7.16,1200,592
82,0,2,6,4.58,1200,593
-56,0,,,3.25,1200,594
-51,0,3,6,10.41,1300,595
-98,1,3,6,1.91,1200,596
1043,0,6,4,31,1200,597
1,1,3,5,0.83,1200,598
16,0,2,4,5.25,1100,599
-29,0,,,5,1200,600
-89,0,3,6,14.58,1200,601
-29,0,7,2,18,1200,602
44,0,3,6,1.41,1200,603
-36,0,5,9,38.58,1200,604
348,0,3,8,0.66,1200,605
-18,0,3,6,5.83,1200,606
-187,1,5,6,6.91,1100,607
1379,0,5,9,13.41,1200,608
829,0,6,3,28.41,1200,609
-98,1,7,6,16.41,1100,610
50,0,1,4,5,1300,611
-15,1,2,6,2,1200,612
190,0,,,7.41,1200,613
-80,0,,,1.25,1200,614
-10,0,2,9,1.5,1200,615
12,1,,,3.83,1200,616
5,0,2,6,4.16,1200,617
41,0,2,4,6.33,1200,618
48,0,3,9,8.41,1200,619
110,0,5,6,2.16,1200,620
-47,0,4,7,3.66,1100,621
-83,0,,,8.75,1200,622
-97,0,5,5,25.25,1300,623
466,0,2,5,7.83,1100,624
-31,0,,,2.25,1100,625
34,0,5,4,1.5,1300,626
282,0,4,9,23.16,1200,627
-28,0,4,7,7.91,1200,628
-89,0,5,6,1.58,1200,629
-31,0,5,7,16.25,1200,630
-26,0,6,1,25.75,1100,631
165,0,5,6,18.08,1100,632
437,0,3,9,5.41,1200,633
331,0,7,4,21.08,1100,634
-125,1,7,5,9.75,1200,635
881,0,3,3,5,1200,636
-4,0,,,4.08,1300,637
-24,0,,,17.66,1300,638
-46,0,3,4,6.83,1200,639
-33,0,5,1,0.83,1200,640
-51,0,3,3,20,1200,641
-17,0,4,4,3.83,1200,642
248,0,,,1.41,1300,643
-13,0,3,6,3.91,1200,644
-61,0,2,4,12.41,1100,645
82,0,4,6,26.58,1200,646
469,0,5,5,21.5,1300,647
-123,1,2,8,6.41,1300,648
76,0,6,5,30.83,1200,649
-4,0,,,33.66,1300,650
-64,1,2,4,2.41,1200,651
212,0,3,7,19.08,1200,652
1230,0,4,9,1,1200,653
-31,0,3,2,6.08,1200,654
273,0,6,7,6.91,1200,655
172,0,,,22.08,1200,656
46,0,,,11.66,1100,657
-73,1,,,12.5,1300,658
-93,0,1,1,15.83,1200,659
365,0,,,5.16,1200,660
331,0,7,9,12.08,1200,661
-17,0,,,7.58,1100,662
50,0,5,3,8.83,1100,663
702,0,6,7,31.75,1200,664
-33,0,,,4.5,1200,665
-2,0,,,3.41,1100,666
-34,0,,,9.25,1300,667
5,0,,,1.16,1200,668
-77,0,,,18,1200,669
349,0,3,9,4.75,1200,670
39,0,,,16.33,1300,671
107,0,3,1,5.75,1300,672
-31,0,3,2,4,1300,673
66,0,5,4,31,1200,674
-20,0,,,1.58,1200,675
-30,0,,,6.25,1100,676
189,0,6,8,30.25,1200,677
551,0,3,9,17.66,1200,678
306,1,,,2.16,1200,679
-21,0,,,1,1200,680
17,0,,,1.91,1200,681
-26,1,2,6,3.08,1200,682
-45,0,3,1,14.16,1200,683
-3,0,2,4,4.66,1200,684
-184,0,,,8.91,1200,685
-131,0,,,6.75,1300,686
156,0,3,6,7.41,1200,687
10,0,,,8.08,1200,688
-33,0,,,7.5,1200,689
151,1,,,7.08,1200,690
265,0,4,6,7.83,1200,691
140,0,5,6,27.33,1200,692
30,0,6,2,20.91,1100,693
3,0,,,0.33,1300,694
-16,0,4,1,7.33,1100,695
39,1,3,6,7,1200,696
499,0,5,7,18.58,1200,697
13,0,2,,0.25,1200,698
33,0,2,6,3.91,1200,699
-25,0,,,3.91,1200,700
-108,0,2,3,11.25,1200,701
90,0,5,4,7.58,1200,702
137,0,7,6,8.16,1200,703
7,0,7,4,5.33,1200,704
-62,0,,,4.83,1200,705
93,0,5,9,18.66,1200,706
8,0,5,6,2.5,1100,707
3,0,7,6,36.58,1200,708
-95,0,7,7,7.66,1200,709
83,0,4,9,6.33,1200,710
463,0,4,7,3.75,1200,711
800,0,5,7,2.91,1200,712
-56,0,4,3,30.75,1200,713
121,1,3,4,4.16,1200,714
65,0,,,4.08,1200,715
304,1,,,13.33,1200,716
197,0,,,27.08,1200,717
-82,0,4,5,12.83,1200,718
-1,0,,,25.08,1200,719
-140,0,7,5,21.41,1300,720
249,0,6,3,21.66,1200,721
32,1,3,3,7.33,1200,722
-6,0,5,6,1.33,1200,723
-23,0,3,7,1.08,1200,724
-64,1,4,5,30.08,1200,725
-21,0,2,8,6.5,1200,726
-21,0,,,1.91,1100,727
676,0,,,13.58,1300,728
119,0,4,8,7.33,1300,729
-7,0,,,1,1300,730
16,0,,,2.91,1200,731
41,0,7,1,26.33,1200,732
165,0,4,9,23.25,1200,733
-3,0,7,6,15.83,1100,734
1,0,2,9,4.91,1200,735
281,0,4,9,18.91,1200,736
181,0,3,3,11.41,1200,737
-61,0,4,6,0.91,1100,738
-15,0,2,5,3.91,1200,739
-59,1,1,5,9.08,1200,740
-37,0,,,2.33,1200,741
-21,0,,,2.41,1100,742
-72,0,3,3,2.25,1300,743
85,1,2,6,5.66,1200,744
-118,0,,,21.91,1200,745
-32,0,4,3,7.33,1200,746
1,0,3,4,8.16,1200,747
-30,0,2,7,7.66,1200,748
-45,0,7,2,36,1100,749
55,1,4,3,0.58,1200,750
-10,1,2,1,7.58,1200,751
-74,0,2,7,5.33,1200,752
-106,0,2,7,4.5,1200,753
-2,0,2,4,4.91,1100,754
-124,0,2,3,5.91,1200,755
-43,0,2,,1.75,1200,756
-16,0,5,1,24.33,1300,757
208,1,2,6,7.08,1200,758
52,0,7,8,14.33,1200,759
-41,1,2,4,7.5,1300,760
-44,0,,,2.66,1200,761
-14,0,5,8,14.83,1100,762
-39,1,,,6.33,1100,763
5,0,3,7,10.25,1200,764
12,0,,,3.41,1200,765
-3,0,,5,21.5,1300,766
118,0,3,3,3.33,1200,767
495,0,4,6,7.58,1200,768
-22,0,7,5,11.16,1200,769
67,0,4,7,2.5,1200,770
-30,0,5,4,0.91,1100,771
571,0,3,3,4.83,1200,772
16,0,7,3,14.25,1200,773
-2,0,4,6,14.83,1200,774
60,0,2,6,4.66,1200,775
10,1,,,0.16,1300,776
37,0,5,8,17.58,1200,777
1016,0,3,7,15.5,1200,778
-24,1,2,5,6.83,1200,779
-122,0,,,1.41,1100,780
171,0,3,9,3.25,1200,781
82,0,3,7,6.66,1200,782
-55,0,3,8,6.16,1200,783
-55,0,5,3,14.33,1200,784
-47,1,,,0.41,1200,785
-25,0,4,6,0.83,1200,786
-2,0,2,5,7.58,1200,787
4,1,,,5.16,1200,788
-34,0,7,5,4.16,1200,789
-2,0,3,1,3,1200,790
-52,0,4,6,4.66,1200,791
11,0,4,2,13,1200,792
40,0,4,7,16.08,1200,793
15,0,6,5,5.66,1100,794
-64,0,,,1.5,1200,795
249,0,6,6,7.58,1200,796
597,0,,,8.58,1200,797
-199,0,2,6,5,1200,798
141,0,3,7,8.08,1200,799
-29,0,4,7,12.25,1200,800
-77,0,,,2.91,1300,801
14,0,3,3,17.08,1300,802
-28,0,4,5,5.08,1100,803
177,0,4,3,13.16,1200,804
56,0,,2,0.41,1200,805
-155,0,4,5,21.66,1200,806
-31,0,4,6,23.08,1200,807
-14,0,2,8,8,1200,808
7,0,5,6,27.91,1200,809
33,1,4,7,7,1200,810
-57,0,6,4,7.08,1200,811
199,0,2,1,0.58,1200,812
-72,0,,,9.08,1200,813
155,0,3,8,4.25,1200,814
-85,1,3,6,3,1200,815
23,0,2,7,5.08,1200,816
61,0,,,16.83,1100,817
-120,1,2,1,0.83,1200,818
81,0,6,4,29.41,1200,819
-64,1,3,9,12,1200,820
-133,0,6,7,25.41,1200,821
-62,0,3,3,15.58,1200,822
129,0,7,1,4.5,1300,823
105,0,6,5,17.08,1300,824
57,1,2,2,9.58,1100,825
-21,0,3,5,2.41,1100,826
-45,0,,,3.66,1300,827
846,0,7,7,17.25,1200,828
-63,0,6,1,7.25,1200,829
206,0,4,7,14.83,1300,830
