,Id,donate_00,donate_01,donate_02,donate_03,donate_04,donate_05,donate_06,donate_07,donate_08,donate_09,donate_10,donate_11,frequency,recency
36,100036,1,0,1,1,0,1,0,1,1,1,1,1,8,0
37,100037,1,0,0,0,0,0,0,0,0,0,0,0,1,10
38,100038,1,1,0,0,0,0,1,1,1,1,1,0,7,0
39,100039,1,0,0,0,0,1,1,1,1,1,1,1,7,0
40,100040,1,1,0,1,1,0,1,1,1,1,1,1,9,0
41,100041,1,1,1,1,1,1,1,1,1,0,0,0,9,2
42,100042,1,0,1,1,1,1,1,0,0,0,0,0,6,4
43,100043,1,0,1,0,0,0,0,0,0,0,1,0,3,0
44,100044,1,0,0,1,1,1,1,1,0,1,0,1,7,1
45,100045,1,0,1,0,1,1,1,1,1,1,1,0,9,0
46,100046,1,0,0,0,0,0,1,1,0,1,0,0,4,1
47,100047,1,1,0,0,1,0,0,0,0,0,0,0,3,6
48,100048,1,1,1,1,1,1,1,1,1,1,1,1,11,0
49,100049,1,1,1,0,0,1,1,1,1,1,0,0,8,1
50,100050,1,1,0,0,0,0,0,0,0,0,0,0,2,9
51,100051,1,1,0,0,0,1,0,0,1,1,1,1,6,0
52,100052,1,0,0,1,1,1,1,1,1,1,1,1,9,0
53,100053,1,0,0,0,0,0,0,0,0,0,0,0,1,10
54,100054,1,0,0,0,0,0,0,0,0,0,0,0,1,10
55,100055,1,0,0,0,0,0,0,0,0,0,0,0,1,10
56,100056,1,1,1,1,1,1,0,0,1,0,0,0,7,2
57,100057,1,1,0,0,1,0,0,1,0,0,0,0,4,3
58,100058,1,0,0,0,0,0,0,0,0,0,0,0,1,10
59,100059,1,0,0,0,0,0,0,0,0,0,0,0,1,10
60,100060,1,1,0,0,0,0,0,0,0,0,0,0,2,9
61,100061,1,1,1,0,1,1,1,1,1,0,0,0,8,2
62,100062,1,1,1,1,1,1,1,0,0,0,0,0,7,4
63,100063,1,1,1,0,0,0,0,1,0,0,0,0,4,3
64,100064,1,0,1,0,1,0,1,0,1,0,1,1,6,0
65,100065,1,0,1,0,0,1,0,0,0,1,1,0,5,0
66,100066,1,0,1,0,0,0,0,0,0,0,0,0,2,8
67,100067,1,0,0,1,1,0,0,0,0,0,0,0,3,6
68,100068,1,1,1,0,0,0,0,0,0,0,1,1,4,0
69,100069,1,1,1,1,1,1,1,1,1,1,1,1,11,0
70,100070,1,1,0,1,1,1,1,1,1,1,1,1,10,0
71,100071,1,1,1,1,0,0,0,0,0,0,0,0,4,7
72,100072,1,1,1,1,1,1,1,1,1,1,1,1,11,0
73,100073,1,0,0,0,0,1,0,0,0,0,0,0,2,5
74,100074,1,1,0,0,0,0,0,0,0,0,0,0,2,9
75,100075,1,0,1,1,1,1,0,0,1,1,1,0,8,0
76,100076,1,1,1,1,1,1,1,0,1,1,1,1,10,0
77,100077,1,1,1,0,1,1,0,1,1,1,1,0,9,0
78,100078,1,0,0,0,0,1,1,0,1,0,1,0,5,0
79,100079,1,1,1,1,1,1,1,1,1,1,1,0,11,0
80,100080,1,1,0,0,0,0,0,0,0,0,0,0,2,9
81,100081,1,1,1,0,0,0,1,1,0,0,0,0,5,3
82,100082,1,0,0,0,0,0,0,0,0,1,1,0,3,0
83,100083,1,1,1,1,1,1,1,1,0,0,0,0,8,3
84,100084,1,1,1,1,0,0,1,0,0,0,0,0,5,4
85,100085,1,1,1,1,0,0,0,0,0,0,0,0,4,7
86,100086,1,1,1,1,1,1,0,1,1,0,0,0,8,2
87,100087,1,1,1,0,1,0,1,1,0,0,0,0,6,3
88,100088,1,1,1,1,1,1,1,1,1,1,1,1,11,0
89,100089,1,0,0,0,0,0,0,0,0,0,0,0,1,10
90,100090,1,0,0,0,0,0,0,0,0,0,0,0,1,10
91,100091,1,1,1,1,1,1,1,1,1,1,1,0,11,0
92,100092,1,0,0,1,1,1,1,1,1,0,0,0,7,2
93,100093,1,0,0,0,0,0,1,1,1,1,0,1,5,1
94,100094,1,0,0,0,0,0,0,0,0,0,0,0,1,10
95,100095,1,0,0,0,0,0,0,0,0,0,0,0,1,10
96,100096,1,1,0,1,0,1,1,1,1,1,0,0,8,1
97,100097,1,1,0,1,1,1,0,0,0,1,1,1,7,0
98,100098,1,1,1,1,1,1,1,1,1,1,1,1,11,0
99,100099,1,0,0,0,0,0,0,0,0,0,0,0,1,10
100,100100,1,1,0,0,0,1,1,0,1,1,1,0,7,0
101,100101,1,1,1,1,0,0,0,1,1,1,1,1,8,0
102,100102,1,1,1,1,0,0,0,1,1,0,0,0,6,2
103,100103,1,0,0,0,0,1,0,0,0,0,0,0,2,5
104,100104,1,0,0,0,0,0,0,0,0,0,0,1,1,10
105,100105,1,0,0,0,0,0,0,0,0,0,0,0,1,10
106,100106,1,0,0,0,0,0,0,0,0,0,0,0,1,10
107,100107,1,1,0,0,0,0,0,0,0,0,0,0,2,9
108,100108,1,1,0,0,1,1,0,0,1,1,1,1,7,0
109,100109,1,0,1,0,0,1,1,1,1,1,1,1,8,0
110,100110,1,0,1,0,0,0,0,0,0,1,1,1,4,0
111,100111,1,1,1,1,0,1,0,0,0,0,0,0,5,5
112,100112,1,0,0,1,1,1,0,1,0,0,1,0,6,0
113,100113,1,1,1,1,1,1,0,1,1,1,0,0,9,1
114,100114,1,0,0,1,0,0,0,1,0,0,0,1,3,3
115,100115,1,0,1,1,1,1,1,1,1,1,1,1,10,0
116,100116,1,0,0,0,0,0,0,0,0,0,0,0,1,10
117,100117,1,0,1,0,1,0,1,0,0,0,0,0,4,4
118,100118,1,1,1,0,1,0,1,1,1,0,1,0,8,0
119,100119,1,0,0,0,0,0,0,0,0,0,0,0,1,10
120,100120,1,0,0,0,0,0,0,0,0,0,0,0,1,10
121,100121,1,0,0,0,0,0,0,1,0,1,0,1,3,1
122,100122,1,0,0,0,0,0,0,0,0,0,0,0,1,10
123,100123,1,1,1,0,0,0,0,0,1,0,0,0,4,2
124,100124,1,1,0,0,1,1,1,1,0,1,0,1,7,1
125,100125,1,0,0,0,0,0,0,0,0,0,0,0,1,10
126,100126,1,1,1,1,1,1,1,1,0,1,1,1,10,0
127,100127,1,0,1,0,0,0,1,0,1,0,0,1,4,2
128,100128,1,1,1,1,1,1,1,1,0,0,1,0,9,0
129,100129,1,0,1,1,0,1,1,1,1,1,1,1,9,0
130,100130,1,1,0,0,0,0,0,0,0,0,0,0,2,9
131,100131,1,1,1,1,1,0,0,0,0,0,0,0,5,6
132,100132,1,0,1,1,0,0,0,1,0,0,0,0,4,3
133,100133,1,1,1,1,1,1,1,1,1,1,1,0,11,0
134,100134,1,0,0,0,0,0,0,0,0,0,0,1,1,10
135,100135,1,1,0,0,0,0,0,0,1,0,0,0,3,2
136,100136,1,1,1,0,0,1,1,1,1,1,1,1,9,0
137,100137,1,0,0,0,0,0,0,0,0,0,0,0,1,10
138,100138,1,1,1,1,0,1,0,1,0,1,0,1,7,1
139,100139,1,1,1,1,1,1,1,1,1,1,1,1,11,0
140,100140,1,0,1,0,0,1,0,0,0,0,0,0,3,5
141,100141,1,1,0,0,0,0,0,0,0,0,0,0,2,9
142,100142,1,1,1,1,1,0,1,1,1,1,1,1,10,0
143,100143,1,0,0,0,0,0,0,0,0,0,0,0,1,10
144,100144,1,0,0,0,0,0,0,0,0,0,0,0,1,10
145,100145,1,1,1,1,1,1,0,0,0,0,0,0,6,5
146,100146,1,1,1,1,1,1,1,0,1,1,1,0,10,0
147,100147,1,1,1,1,1,1,1,1,1,1,1,1,11,0
148,100148,1,0,0,1,1,1,1,1,0,0,0,0,6,3
149,100149,1,0,0,1,0,1,1,0,0,0,0,0,4,4
150,100150,1,1,1,0,1,0,0,0,0,0,0,0,4,6
151,100151,1,0,0,0,0,1,1,0,0,1,0,0,4,1
152,100152,1,1,0,1,0,0,0,1,1,0,1,0,6,0
153,100153,1,1,0,0,0,0,0,0,0,0,0,0,2,9
154,100154,1,1,0,1,1,1,1,1,1,1,1,1,10,0
155,100155,1,1,0,1,0,1,0,1,1,0,0,0,6,2
156,100156,1,1,1,1,1,1,1,1,0,1,1,0,10,0
157,100157,1,0,1,0,1,1,1,0,0,0,0,0,5,4
158,100158,1,0,0,0,1,0,0,1,0,0,0,0,3,3
159,100159,1,1,0,0,0,0,0,0,0,0,0,0,2,9
160,100160,1,1,0,1,1,1,1,1,1,1,1,1,10,0
161,100161,1,0,0,0,0,0,0,1,1,1,0,0,4,1
162,100162,1,0,0,0,0,1,0,0,0,0,0,0,2,5
163,100163,1,1,1,1,0,1,1,1,1,1,1,1,10,0
164,100164,1,1,1,1,1,1,1,1,0,0,0,0,8,3
165,100165,1,0,0,0,0,0,0,0,0,1,1,1,3,0
166,100166,1,0,0,0,0,0,0,0,0,0,0,0,1,10
167,100167,1,1,0,0,0,1,0,0,0,0,0,0,3,5
168,100168,1,1,1,1,1,1,1,1,1,1,1,1,11,0
169,100169,1,0,0,0,0,0,0,0,0,0,0,0,1,10
170,100170,1,1,1,0,0,0,0,0,0,0,0,0,3,8
171,100171,1,0,0,0,0,0,0,0,0,0,0,0,1,10
172,100172,1,0,0,0,0,0,0,0,0,0,0,0,1,10
173,100173,1,0,0,1,0,0,0,0,0,0,1,0,3,0
174,100174,1,1,1,0,1,1,1,1,1,1,1,0,10,0
175,100175,1,0,1,0,1,1,1,1,1,1,0,0,8,1
176,100176,1,1,0,0,0,0,0,0,0,0,0,0,2,9
177,100177,1,1,1,0,0,1,1,0,0,1,0,0,6,1
178,100178,1,0,1,1,1,0,0,0,0,0,0,0,4,6
179,100179,1,1,0,1,1,1,1,1,1,0,1,0,9,0
180,100180,1,1,1,1,1,0,1,1,1,1,0,0,9,1
181,100181,1,1,1,0,0,0,0,0,0,0,0,0,3,8
182,100182,1,1,1,1,1,1,1,1,0,0,0,0,8,3
183,100183,1,1,1,1,1,1,1,1,1,1,1,0,11,0
184,100184,1,0,0,0,0,0,0,0,0,1,0,1,2,1
185,100185,1,1,1,0,1,1,1,1,1,0,0,0,8,2
186,100186,1,0,0,0,0,0,0,0,1,1,0,0,3,1
187,100187,1,1,1,1,0,0,0,0,0,0,0,0,4,7
188,100188,1,0,1,0,0,1,1,1,1,0,1,1,7,0
189,100189,1,1,1,0,1,1,0,1,1,1,1,1,9,0
190,100190,1,1,1,1,1,1,1,1,0,0,0,0,8,3
191,100191,1,0,1,0,0,0,1,0,0,1,1,1,5,0
192,100192,1,0,1,1,0,0,0,0,0,0,0,0,3,7
193,100193,1,0,0,0,0,0,0,0,0,0,0,0,1,10
194,100194,1,1,1,1,1,0,1,1,1,1,1,1,10,0
195,100195,1,1,1,0,0,0,0,0,0,0,0,0,3,8
196,100196,1,1,0,1,1,1,1,1,1,1,1,1,10,0
197,100197,1,1,0,0,0,0,0,0,0,0,0,0,2,9
198,100198,1,1,0,1,1,1,1,1,1,1,1,1,10,0
199,100199,1,0,0,0,0,0,0,0,0,0,0,0,1,10
200,100200,1,1,0,0,0,0,0,0,0,0,0,0,2,9
201,100201,1,1,0,1,1,0,0,0,1,1,1,0,7,0
202,100202,1,1,1,1,1,1,1,0,0,0,0,0,7,4
203,100203,1,1,0,0,0,0,0,0,0,0,0,0,2,9
204,100204,1,1,1,1,0,1,1,1,1,0,1,0,9,0
205,100205,1,1,1,1,1,0,0,0,0,0,0,0,5,6
206,100206,1,0,0,0,0,0,0,0,0,0,0,0,1,10
207,100207,1,0,0,0,0,0,0,0,0,0,0,0,1,10
208,100208,1,0,0,0,0,0,0,0,0,0,0,0,1,10
209,100209,1,1,1,1,1,1,1,1,1,1,1,1,11,0
210,100210,1,0,0,0,1,1,1,1,1,0,0,0,6,2
211,100211,1,1,1,0,0,0,0,0,0,0,0,0,3,8
212,100212,1,1,1,1,1,1,1,1,0,0,0,0,8,3
213,100213,1,1,1,1,1,1,0,0,0,0,0,0,6,5
214,100214,1,1,1,1,1,1,1,0,1,1,0,0,9,1
215,100215,1,1,1,0,1,0,1,0,1,0,0,0,6,2
216,100216,1,0,1,1,0,1,0,1,1,1,1,1,8,0
217,100217,1,0,0,0,0,0,0,0,0,0,0,0,1,10
218,100218,1,0,1,1,1,0,0,0,0,0,0,0,4,6
219,100219,1,1,0,0,0,0,0,0,0,0,0,0,2,9
220,100220,1,0,0,0,0,0,0,1,0,0,0,0,2,3
221,100221,1,1,1,1,1,1,1,1,0,0,0,0,8,3
222,100222,1,0,1,0,0,0,0,1,1,1,0,1,5,1
223,100223,1,1,1,1,0,0,0,0,0,0,0,0,4,7
224,100224,1,0,0,0,0,0,0,0,0,0,0,0,1,10
225,100225,1,0,0,0,0,0,0,0,0,0,0,0,1,10
226,100226,1,0,1,0,0,0,0,0,0,0,0,0,2,8
227,100227,1,1,0,1,0,0,0,1,0,0,0,1,4,3
228,100228,1,1,0,1,1,0,0,0,1,0,0,0,5,2
229,100229,1,1,0,1,0,0,0,0,0,0,0,0,3,7
230,100230,1,0,0,0,0,0,0,0,0,0,0,0,1,10
231,100231,1,0,0,0,0,0,0,1,1,1,1,1,5,0
232,100232,1,1,0,1,1,1,1,1,1,1,0,0,9,1
233,100233,1,0,0,0,1,0,0,0,0,0,0,0,2,6
234,100234,1,1,1,0,1,1,1,1,0,1,1,0,9,0
235,100235,1,1,1,1,1,1,0,1,1,1,0,0,9,1
236,100236,1,1,1,1,1,1,1,1,1,1,1,1,11,0
237,100237,1,1,0,1,0,1,1,1,1,1,1,0,9,0
238,100238,1,1,1,0,0,0,0,0,0,0,0,1,3,8
239,100239,1,1,0,1,1,1,1,1,0,0,0,0,7,3
240,100240,1,1,1,0,1,1,1,1,1,1,1,1,10,0
241,100241,1,0,1,1,1,1,1,1,1,1,1,1,10,0
242,100242,1,1,1,0,1,1,1,1,1,1,1,0,10,0
243,100243,1,1,1,1,1,1,1,1,1,1,1,1,11,0
244,100244,1,1,1,0,0,0,0,0,1,0,1,1,5,0
245,100245,1,0,0,1,1,1,0,0,0,0,0,0,4,5
246,100246,1,1,1,0,0,0,0,0,0,0,0,0,3,8
247,100247,1,0,0,0,0,1,0,1,0,1,1,1,5,0
248,100248,1,1,1,0,0,0,0,0,0,0,0,0,3,8
249,100249,1,1,1,1,1,1,1,1,1,1,1,1,11,0
250,100250,1,0,0,0,0,0,0,0,0,0,0,0,1,10
251,100251,1,0,0,0,0,0,1,1,1,0,0,0,4,2
252,100252,1,1,1,1,1,1,1,1,1,1,1,0,11,0
253,100253,1,1,1,1,1,1,1,1,1,1,1,1,11,0
254,100254,1,1,1,1,1,1,0,0,0,0,0,0,6,5
255,100255,1,1,1,1,1,1,1,1,1,1,1,0,11,0
256,100256,1,0,0,0,0,0,0,0,0,0,0,0,1,10
257,100257,1,0,1,0,1,1,0,1,1,1,1,0,8,0
258,100258,1,0,0,1,0,0,1,0,0,0,0,0,3,4
259,100259,1,0,1,0,0,0,1,0,0,0,0,0,3,4
260,100260,1,0,0,0,0,0,0,0,0,1,0,0,2,1
261,100261,1,0,1,1,1,0,0,1,0,1,1,1,7,0
262,100262,1,1,1,1,1,1,1,1,1,1,1,1,11,0
263,100263,1,0,0,0,1,1,1,1,0,0,0,0,5,3
264,100264,1,1,0,1,0,1,1,1,1,1,0,0,8,1
265,100265,1,1,1,1,0,0,0,0,0,0,0,0,4,7
266,100266,1,1,1,1,1,1,1,1,1,1,1,1,11,0
267,100267,1,1,1,1,1,0,0,0,0,0,0,0,5,6
268,100268,1,1,1,0,0,0,0,0,0,0,0,0,3,8
269,100269,1,1,1,1,0,1,1,1,0,1,1,1,9,0
270,100270,1,1,1,1,0,1,1,0,1,0,1,1,8,0
271,100271,1,0,0,1,1,0,0,1,1,1,1,1,7,0
272,100272,1,1,1,1,0,1,0,1,1,1,1,0,9,0
273,100273,1,1,1,0,1,1,0,0,1,1,1,1,8,0
274,100274,1,0,0,0,0,0,0,0,0,0,0,0,1,10
275,100275,1,1,1,0,0,0,0,0,0,0,0,0,3,8
276,100276,1,0,0,0,0,0,0,0,0,0,0,0,1,10
277,100277,1,0,0,0,0,0,0,1,1,0,0,0,3,2
278,100278,1,1,0,0,0,0,0,0,0,0,0,0,2,9
279,100279,1,1,1,1,1,1,1,1,1,1,0,0,10,1
280,100280,1,1,1,0,1,1,1,1,1,1,0,0,9,1
281,100281,1,1,1,1,1,1,1,1,1,1,1,1,11,0
282,100282,1,1,1,0,1,1,1,1,1,0,1,1,9,0
283,100283,1,1,0,1,1,1,1,1,1,1,1,1,10,0
284,100284,1,0,0,0,0,0,0,0,0,0,0,0,1,10
285,100285,1,1,1,0,0,0,1,0,1,1,1,0,7,0
286,100286,1,1,0,0,0,0,0,0,0,0,0,0,2,9
287,100287,1,1,1,1,1,1,1,0,0,0,0,0,7,4
288,100288,1,0,0,0,1,0,0,0,0,0,0,0,2,6
289,100289,1,1,0,0,0,0,1,1,0,0,0,1,4,3
290,100290,1,1,1,1,1,0,1,1,1,1,1,0,10,0
291,100291,1,0,0,0,0,0,0,0,0,0,0,0,1,10
292,100292,1,0,1,1,1,0,0,0,0,0,0,0,4,6
293,100293,1,1,0,1,1,0,1,1,1,0,1,0,8,0
294,100294,1,0,0,0,0,0,0,0,0,0,0,0,1,10
295,100295,1,1,1,1,0,0,0,0,0,0,0,0,4,7
296,100296,1,0,0,0,0,0,0,0,0,0,0,0,1,10
297,100297,1,1,0,0,1,1,0,0,1,0,1,1,6,0
298,100298,1,0,1,1,1,1,0,1,1,1,1,1,9,0
299,100299,1,1,1,0,1,1,0,1,0,0,0,1,6,3
300,100300,1,0,0,1,1,1,0,0,1,0,0,1,5,2
301,100301,1,1,0,0,0,0,0,0,0,0,0,0,2,9
302,100302,1,1,1,0,0,0,0,0,0,0,0,0,3,8
303,100303,1,0,1,1,1,1,1,1,1,1,0,0,9,1
304,100304,1,1,1,0,0,1,1,1,1,1,1,1,9,0
305,100305,1,1,1,1,1,1,1,1,1,1,1,1,11,0
306,100306,1,0,0,0,0,0,0,0,0,0,0,0,1,10
307,100307,1,1,0,0,0,0,0,0,0,0,0,0,2,9
308,100308,1,1,1,0,0,0,1,1,0,0,1,1,6,0
309,100309,1,1,1,1,1,1,1,1,1,1,1,1,11,0
310,100310,1,1,1,0,0,0,0,0,0,0,0,0,3,8
311,100311,1,0,1,1,0,1,0,0,1,0,0,0,5,2
312,100312,1,1,1,1,0,1,1,1,1,0,1,0,9,0
313,100313,1,0,0,0,0,0,0,0,0,0,0,0,1,10
314,100314,1,1,1,1,1,1,0,1,1,1,0,0,9,1
315,100315,1,0,1,0,0,1,0,0,0,0,0,0,3,5
316,100316,1,1,1,1,1,1,1,0,1,0,1,1,9,0
317,100317,1,0,0,0,0,0,0,1,0,0,0,0,2,3
318,100318,1,1,0,0,0,0,0,0,0,0,0,0,2,9
319,100319,1,1,0,0,0,0,0,0,0,0,0,0,2,9
320,100320,1,0,0,1,1,1,1,0,0,1,1,0,7,0
321,100321,1,0,0,0,0,0,0,0,0,0,0,0,1,10
322,100322,1,1,1,0,1,1,1,1,1,1,1,1,10,0
323,100323,1,1,1,1,1,0,1,1,0,1,1,1,9,0
324,100324,1,0,0,0,0,0,0,0,0,0,0,0,1,10
325,100325,1,1,0,0,0,1,1,0,0,0,0,0,4,4
326,100326,1,1,1,1,1,1,1,1,1,0,0,0,9,2
327,100327,1,1,0,1,1,1,1,1,0,0,0,0,7,3
328,100328,1,0,0,0,1,1,0,0,0,0,1,1,4,0
329,100329,1,0,0,0,0,0,0,0,0,0,0,0,1,10
330,100330,1,0,1,0,1,0,1,0,0,0,1,0,5,0
331,100331,1,0,1,1,1,1,1,1,1,1,1,0,10,0
332,100332,1,1,1,1,0,1,0,0,1,0,1,1,7,0
333,100333,1,1,1,1,1,1,1,1,1,1,1,1,11,0
334,100334,1,1,1,1,1,1,1,1,1,1,1,1,11,0
335,100335,1,1,1,0,0,0,0,0,0,0,0,0,3,8
336,100336,1,1,1,1,1,1,0,1,1,1,1,1,10,0
337,100337,1,0,0,0,0,0,0,0,0,0,0,0,1,10
338,100338,1,1,1,0,1,0,1,1,0,1,1,1,8,0
339,100339,1,1,1,0,0,0,0,0,1,0,0,0,4,2
340,100340,1,1,1,1,1,1,1,1,1,1,1,1,11,0
341,100341,1,1,1,1,0,0,0,1,0,1,1,0,7,0
342,100342,1,1,0,1,1,0,0,0,0,0,0,1,4,6
343,100343,1,0,1,1,1,1,1,1,1,1,1,0,10,0
344,100344,1,1,1,1,1,1,1,1,0,1,1,1,10,0
345,100345,1,1,0,0,1,1,0,0,0,0,0,0,4,5
346,100346,1,1,1,0,1,1,1,1,1,1,1,1,10,0
347,100347,1,0,0,0,0,0,0,0,0,0,0,0,1,10
348,100348,1,1,0,0,0,1,0,1,0,1,1,1,6,0
349,100349,1,0,1,0,1,0,1,1,1,1,1,0,8,0
350,100350,1,0,0,1,0,0,0,0,0,0,0,0,2,7
351,100351,1,0,1,1,1,1,0,1,0,0,0,0,6,3
352,100352,1,1,0,0,0,0,0,0,0,0,0,0,2,9
353,100353,1,0,0,0,0,0,0,0,0,0,0,0,1,10
354,100354,1,0,0,0,0,0,0,0,0,0,0,0,1,10
355,100355,1,0,0,0,0,0,0,0,0,0,0,0,1,10
356,100356,1,0,0,0,0,0,0,0,0,0,0,0,1,10
357,100357,1,1,1,1,1,1,1,1,0,1,1,1,10,0
358,100358,1,1,0,0,0,0,0,0,0,0,0,0,2,9
359,100359,1,0,1,0,0,1,0,1,1,1,1,0,7,0
360,100360,1,0,1,0,0,0,0,0,0,0,0,0,2,8
361,100361,1,1,1,1,1,0,1,0,0,0,1,1,7,0
362,100362,1,0,0,0,0,0,0,0,0,0,0,0,1,10
363,100363,1,1,1,1,1,0,0,0,0,0,0,0,5,6
364,100364,1,0,0,0,0,1,0,0,0,1,1,0,4,0
365,100365,1,1,1,1,0,1,0,0,1,1,1,1,8,0
366,100366,1,0,0,1,0,0,0,0,0,0,0,0,2,7
367,100367,1,1,1,1,1,1,1,1,1,1,1,1,11,0
368,100368,1,1,1,1,1,1,1,1,0,1,1,1,10,0
369,100369,1,1,0,0,0,0,0,0,0,1,0,1,3,1
370,100370,1,1,1,0,0,0,0,0,0,0,0,0,3,8
371,100371,1,1,1,1,1,1,0,1,1,1,0,1,9,1
372,100372,1,1,1,0,1,1,0,1,0,0,0,0,6,3
373,100373,1,0,0,0,0,0,0,0,0,0,0,0,1,10
374,100374,1,1,1,1,0,1,1,1,1,1,1,1,10,0
375,100375,1,1,1,1,1,1,1,1,1,1,1,0,11,0
376,100376,1,1,1,1,1,1,1,1,1,1,1,0,11,0
377,100377,1,0,0,0,0,0,1,1,0,0,1,0,4,0
378,100378,1,0,0,0,0,0,0,0,0,0,0,0,1,10
379,100379,1,0,0,0,0,0,1,1,0,0,0,1,3,3
380,100380,1,1,1,1,1,1,0,0,0,0,0,0,6,5
381,100381,1,1,1,1,1,0,1,0,0,1,0,0,7,1
382,100382,1,1,1,1,1,1,1,1,1,1,1,1,11,0
383,100383,1,0,0,0,0,0,0,1,0,1,1,0,4,0
384,100384,1,0,0,0,0,0,0,0,0,1,0,0,2,1
385,100385,1,0,0,0,0,0,0,0,0,0,0,0,1,10
386,100386,1,0,0,0,0,0,0,0,0,0,0,0,1,10
387,100387,1,1,0,0,0,0,0,0,0,0,0,0,2,9
388,100388,1,1,1,1,1,1,1,1,1,1,0,0,10,1
389,100389,1,1,0,1,1,1,0,1,1,0,1,0,8,0
390,100390,1,1,1,1,1,1,1,0,0,0,0,0,7,4
391,100391,1,0,0,0,0,0,0,0,0,0,0,0,1,10
392,100392,1,0,1,0,0,0,0,0,0,0,0,0,2,8
393,100393,1,1,1,1,1,1,1,1,0,0,0,0,8,3
394,100394,1,1,1,1,1,1,0,1,0,1,0,1,8,1
395,100395,1,1,0,1,1,0,1,1,1,0,1,0,8,0
396,100396,1,0,0,0,0,0,0,0,0,0,0,0,1,10
397,100397,1,1,0,0,1,0,1,0,0,1,1,0,6,0
398,100398,1,1,1,1,0,0,0,0,0,0,0,0,4,7
399,100399,1,1,1,0,1,1,1,1,0,1,0,0,8,1
400,100400,1,1,1,1,1,1,1,1,0,0,0,0,8,3
401,100401,1,0,1,0,1,0,0,0,0,0,0,0,3,6
402,100402,1,1,0,0,0,0,0,0,0,0,0,0,2,9
403,100403,1,0,1,1,0,0,0,0,0,0,0,0,3,7
404,100404,1,1,1,0,1,1,1,0,0,0,0,0,6,4
405,100405,1,1,1,1,1,1,1,1,1,1,0,0,10,1
406,100406,1,0,0,0,0,0,0,1,1,1,0,0,4,1
407,100407,1,1,1,0,1,0,0,0,0,0,0,0,4,6
408,100408,1,0,0,0,0,0,0,0,0,0,0,0,1,10
409,100409,1,0,0,0,0,1,1,0,1,1,1,0,6,0
410,100410,1,1,1,1,1,0,0,0,0,1,0,0,6,1
411,100411,1,1,1,1,0,0,1,1,1,0,1,0,8,0
412,100412,1,1,0,1,0,0,0,0,0,0,0,0,3,7
413,100413,1,1,1,0,0,0,0,0,0,0,0,0,3,8
414,100414,1,0,0,0,0,1,1,1,1,1,1,0,7,0
415,100415,1,1,0,0,1,1,1,1,1,1,1,1,9,0
416,100416,1,0,0,0,0,0,0,0,0,0,0,0,1,10
417,100417,1,1,0,0,0,0,0,0,0,0,0,0,2,9
418,100418,1,0,1,1,1,1,0,1,1,1,1,1,9,0
419,100419,1,0,0,0,0,0,0,0,0,0,0,0,1,10
