Customer_Number,Monetary,Frequency,Last.Purchase,average.number.of.cds,recency,purchase.amount.time2,retained
57,57.86,1,1/1/97,4,272,NA,0
58,20.99,1,1/1/97,1,272,NA,0
59,12.17666667,3,1/25/97,1,248,NA,0
60,21.75,1,2/1/97,2,241,NA,0
61,155.65,1,1/1/97,11,272,NA,0
62,19.15125,8,8/27/97,1.625,34,27.98,1
63,44.97,1,1/1/97,3,272,25.31333333,1
64,18.21833333,6,9/20/97,1.5,10,36.86571429,1
65,18.77,1,1/1/97,1,272,24.985,1
66,39.99,1,1/1/97,1,272,NA,0
67,23.83,3,1/17/97,1.333333333,256,NA,0
68,40.36,1,1/1/97,2,272,NA,0
69,108.54,2,1/4/97,7,269,NA,0
70,72.23,1,1/1/97,5,272,NA,0
71,13.97,1,1/1/97,1,272,NA,0
72,11.99,1,1/1/97,1,272,NA,0
73,31.52333333,3,3/16/97,2.333333333,198,NA,0
74,41.99,1,1/1/97,1,272,NA,0
75,69.81,1,1/1/97,5,272,NA,0
76,9.99,1,1/1/97,1,272,NA,0
77,12.97,1,1/1/97,1,272,NA,0
78,41.52,1,1/13/97,3,260,53.74,1
79,77.44,1,1/1/97,6,272,NA,0
80,43.46,1,1/1/97,4,272,NA,0
81,30.76357143,14,9/27/97,1.857142857,3,NA,0
82,39.32666667,3,9/27/97,2.666666667,3,41.60666667,1
83,26.73,3,7/23/97,2.333333333,69,21.49,1
84,13.97,1,1/1/97,1,272,NA,0
85,26.31,1,1/3/97,3,270,NA,0
86,23.94,1,1/1/97,2,272,NA,0
87,59.52333333,3,7/31/97,4,61,27.98,1
88,14.99,1,2/24/97,1,218,19.98,1
89,34.88375,8,8/23/97,2.125,38,29.281,1
90,12.335,2,1/8/97,1,265,NA,0
91,32.54,1,1/1/97,2,272,NA,0
92,26.67,2,4/16/97,1.5,167,NA,0
93,109.665,2,1/3/97,7,270,NA,0
94,44.1,1,1/2/97,4,271,NA,0
95,38.61222222,18,9/21/97,2.333333333,9,74.56818182,1
96,57.063,10,8/3/97,3.5,58,97.26222222,1
97,91.57,1,1/1/97,6,272,77.72666667,1
98,38.23,2,5/23/97,2,130,NA,0
99,33.8275,4,7/26/97,2.5,66,43.98,1
100,13.77,1,1/1/97,1,272,20.735,1
101,23.54,1,1/18/97,2,255,NA,0
102,20.18,2,2/10/97,1,232,58.555,1
103,40.415,2,4/6/97,3,177,29.66,1
104,14.96,1,1/1/97,1,272,NA,0
105,35.31,1,1/1/97,3,272,NA,0
106,30.72,3,6/26/97,2,96,36.64666667,1
107,21.99,1,1/1/97,1,272,NA,0
108,17.96,1,1/1/97,1,272,NA,0
109,102.23,2,2/2/97,6,240,NA,0
110,27.94,1,1/1/97,2,272,NA,0
111,69.0225,8,7/26/97,2.125,66,69.3575,1
112,11.77,2,2/5/97,1,237,NA,0
113,32.91,1,1/1/97,3,272,13.38,1
114,22.48666667,3,9/8/97,1.333333333,22,28.735,1
115,13.97,1,1/1/97,1,272,NA,0
116,12.77,1,1/1/97,1,272,NA,0
117,21.74,2,8/31/97,2,30,15.49,1
118,36.925,2,6/24/97,2.5,98,NA,0
119,41.69,1,1/1/97,3,272,NA,0
120,23.005,4,5/17/97,1,136,11.49,1
121,12.49,1,1/1/97,1,272,NA,0
122,27.74,1,1/1/97,2,272,NA,0
123,31.99,1,1/1/97,1,272,NA,0
124,28.705,2,9/13/97,2,17,26.98,1
125,25.595,2,6/22/97,2,100,14.3625,1
126,9.77,1,1/3/97,1,270,292.98,1
127,39.71,1,1/1/97,3,272,NA,0
128,16.965,4,8/3/97,1.75,58,NA,0
129,12.49,1,1/1/97,1,272,NA,0
130,15.82833333,6,8/13/97,1.333333333,48,12.99,1
131,30.32,1,1/1/97,2,272,NA,0
132,48.23,4,6/16/97,3.5,106,54.755,1
133,27.69833333,6,6/21/97,1.666666667,101,32.98,1
134,13.945,2,5/5/97,1,148,21.49,1
135,42.195,2,1/1/97,3,272,NA,0
136,44.98,1,1/1/97,2,272,36.98,1
137,27.73,1,1/1/97,2,272,NA,0
138,14.99,1,1/1/97,1,272,NA,0
139,11.77,1,1/6/97,1,267,NA,0
140,22.03,2,5/3/97,1,150,NA,0
141,26.655,4,8/27/97,1.5,34,13.71,1
142,28.44,3,3/30/97,1.666666667,184,18.535,1
143,20.74,2,1/1/97,1,272,NA,0
144,30.72,1,1/1/97,2,272,NA,0
145,23.08266667,15,9/13/97,1.733333333,17,21.965,1
146,13.97,1,1/1/97,1,272,NA,0
147,26.238,5,9/15/97,1.6,15,52.29333333,1
148,11.5,3,6/2/97,1,120,27.985,1
149,53.27,2,1/24/97,4,249,NA,0
150,15.36,1,1/1/97,1,272,NA,0
151,13.97,1,1/1/97,1,272,NA,0
152,44.0025,4,2/3/97,3,239,33.975,1
153,6.79,1,1/1/97,1,272,NA,0
154,14.44,3,9/27/97,1,3,12.935,1
155,23.99,1,1/1/97,1,272,NA,0
156,10.77,1,1/1/97,1,272,NA,0
157,40.105,2,2/26/97,3,216,NA,0
158,43.05,1,1/1/97,3,272,NA,0
159,19.75,1,1/1/97,2,272,NA,0
160,19.74,1,1/1/97,2,272,NA,0
161,26.95,5,9/12/97,2,18,47.02666667,1
162,119.54,1,1/1/97,2,272,NA,0
163,25.74,1,1/1/97,2,272,NA,0
164,29.86,6,7/25/97,2.166666667,67,33.215,1
165,7.78,1,1/1/97,1,272,13.485,1
166,29.53,1,1/1/97,2,272,20.52142857,1
167,21,4,6/14/97,1.5,108,25.615,1
168,14.96,1,1/1/97,1,272,NA,0
169,11.77,1,1/1/97,1,272,NA,0
170,29.92,1,1/1/97,2,272,44.47,1
171,14.96,1,1/1/97,1,272,NA,0
172,50.95,1,1/1/97,5,272,NA,0
173,18.36,1,1/1/97,1,272,31.47,1
174,18.365,2,1/6/97,1,267,NA,0
175,27.77,1,1/1/97,1,272,NA,0
176,11.77,1,1/1/97,1,272,NA,0
177,17.9025,24,9/5/97,1.166666667,25,17.5525,1
178,12.49,1,1/1/97,1,272,NA,0
179,16.215,10,9/25/97,1.3,5,11.88,1
180,31.295,2,8/28/97,2.5,33,NA,0
181,43.7,1,1/1/97,3,272,NA,0
182,19.88,2,9/27/97,1,3,25.98,1
183,9.99,1,1/1/97,1,272,NA,0
184,19.99,1,1/1/97,1,272,11.88,1
185,15.95,3,3/22/97,1.666666667,192,33.67,1
186,17.225,2,9/17/97,1,13,NA,0
187,18.055,2,2/2/97,1.5,240,NA,0
188,13.77,1,1/1/97,1,272,NA,0
189,294.03,1,1/1/97,15,272,NA,0
190,15.36,1,1/1/97,1,272,NA,0
191,70.23,1,1/5/97,6,268,NA,0
192,26.705,6,8/1/97,1.666666667,60,NA,0
193,27.94,1,1/1/97,2,272,NA,0
194,127.89,2,1/11/97,8,262,NA,0
195,15.36,1,1/6/97,1,267,16.405,1
196,25.54,1,1/1/97,2,272,NA,0
197,17.99,3,5/5/97,1,148,NA,0
198,15.76,1,1/1/97,1,272,NA,0
199,14.37,1,1/1/97,1,272,NA,0
200,42.145,2,1/22/97,2.5,251,NA,0
201,14.665,2,4/5/97,1,178,14.65666667,1
202,73.23,2,1/2/97,5,271,NA,0
203,15.9575,4,7/24/97,1,68,NA,0
204,72.23,1,1/15/97,5,258,NA,0
205,17.03,3,5/13/97,1,140,50.98,1
206,17.99,1,1/1/97,1,272,NA,0
207,27.145,2,3/22/97,1,192,39.97,1
208,63.25,1,1/11/97,5,262,70.38,1
209,38.72333333,3,3/15/97,2.333333333,199,NA,0
210,59.66,1,1/1/97,4,272,26.37,1
211,7.78,1,1/1/97,1,272,NA,0
212,14.37,1,1/1/97,1,272,NA,0
213,11.27,2,1/19/97,1,254,NA,0
214,30.375,6,5/22/97,2.166666667,131,39.97,1
215,11.77,1,1/1/97,1,272,NA,0
216,13.97,1,1/1/97,1,272,NA,0
217,57.54,1,1/1/97,2,272,46.12666667,1
218,57.48,1,2/6/97,4,236,NA,0
219,37.01,2,5/17/97,3,136,NA,0
220,57.85,1,1/1/97,4,272,NA,0
221,12.49,1,1/1/97,1,272,NA,0
222,22.675,2,2/21/97,1,221,40.98,1
223,47.93,1,1/1/97,3,272,NA,0
224,28.33,1,1/1/97,2,272,NA,0
225,21.122,5,8/1/97,1.6,60,NA,0
226,27.79,4,7/19/97,2,73,29.48,1
227,32.916,5,8/24/97,1.4,37,NA,0
228,24.39363636,11,8/28/97,1.454545455,33,35.73,1
229,14.67333333,3,8/12/97,1.333333333,49,19.735,1
230,39.98,2,6/6/97,2,116,NA,0
231,69.04,1,1/1/97,5,272,NA,0
232,42.98,1,1/1/97,2,272,NA,0
233,12.99,1,1/1/97,1,272,NA,0
234,11.98,2,2/4/97,1,238,NA,0
235,7.98,1,1/1/97,1,272,NA,0
236,16.7,1,1/1/97,1,272,NA,0
237,23.54,1,1/1/97,2,272,NA,0
238,61.038,5,7/27/97,4.6,65,NA,0
239,28.74,1,1/1/97,2,272,NA,0
240,15.475,2,3/8/97,1,206,NA,0
241,19.85,2,5/3/97,1.5,150,30.425,1
242,32.715,2,1/17/97,2.5,256,NA,0
243,17.96,1,1/2/97,2,271,NA,0
244,58.338,15,9/14/97,4.066666667,16,41.234,1
245,11.475,2,3/17/97,1,197,25.16,1
246,37.758,10,9/28/97,2.7,2,37.26,1
247,21.59,2,7/26/97,1,66,25.485,1
248,14.37,1,1/2/97,1,271,NA,0
249,30.76,3,2/19/97,1.666666667,223,NA,0
250,34.85666667,3,8/23/97,2.333333333,38,NA,0
251,40.26,1,1/2/97,3,271,NA,0
252,68.37,2,1/8/97,4,265,52.88,1
253,13.97,1,1/2/97,1,271,NA,0
254,15.96,1,1/2/97,1,271,NA,0
255,11.77,1,1/2/97,1,271,NA,0
256,26.52666667,3,4/14/97,1.333333333,169,NA,0
257,27.77,1,1/2/97,1,271,13.99,1
258,59.97,1,1/2/97,3,271,NA,0
259,14.79,1,1/2/97,1,271,NA,0
260,57.27,1,1/5/97,4,268,NA,0
261,8.77,1,1/2/97,1,271,NA,0
262,48.95,1,1/2/97,3,271,NA,0
263,14.79,1,1/2/97,1,271,NA,0
264,16.99,1,1/2/97,1,271,NA,0
265,45.2,3,2/20/97,2,222,NA,0
266,49.64,2,1/27/97,3.5,246,NA,0
267,37.47,1,1/2/97,3,271,NA,0
268,7.78,1,3/24/97,1,190,NA,0
269,29.99,1,2/15/97,1,227,NA,0
270,134.585,2,1/24/97,10.5,249,NA,0
271,12.77,1,1/2/97,1,271,NA,0
272,12.90333333,3,4/5/97,1.333333333,178,NA,0
273,10.875,2,3/25/97,1,189,NA,0
274,5.78,1,1/2/97,1,271,NA,0
275,60.47,1,1/2/97,6,271,NA,0
276,34.78666667,3,7/8/97,2.333333333,84,13.99,1
277,17.9,1,1/2/97,1,271,13.99,1
278,23.97,1,1/2/97,1,271,NA,0
279,46.60333333,3,8/14/97,1.333333333,47,NA,0
280,85.48333333,3,4/28/97,6.333333333,155,NA,0
281,14.7,1,1/2/97,1,271,NA,0
282,53.88,1,1/2/97,4,271,NA,0
283,37.71,1,1/2/97,3,271,NA,0
284,20,1,1/2/97,1,271,NA,0
285,25.99,1,1/2/97,1,271,NA,0
286,43.635,2,1/13/97,2.5,260,NA,0
287,13.97,1,1/2/97,1,271,NA,0
288,14.465,2,5/2/97,1,151,NA,0
289,10.27,2,2/8/97,1,234,NA,0
290,49.98,1,1/2/97,2,271,NA,0
291,199.15,1,1/2/97,14,271,NA,0
292,17.29666667,3,7/8/97,1.333333333,84,13.99,1
293,98.75,1,1/2/97,7,271,75.03,1
294,14.37,1,1/19/97,1,254,12.99,1
295,92.41666667,3,9/10/97,6.666666667,20,109.33,1
296,25.53,1,1/2/97,3,271,NA,0
297,14.96,1,1/2/97,1,271,NA,0
298,68.04,1,1/2/97,5,271,NA,0
299,8.77,1,1/2/97,1,271,13.99,1
300,17.97333333,3,9/23/97,1.333333333,7,25.50052632,1
301,41.63666667,3,7/31/97,3,61,48.47,1
302,27.13,1,1/2/97,2,271,NA,0
303,10.77,1,1/2/97,1,271,NA,0
304,22.668,5,5/27/97,1.6,126,NA,0
305,70.83,1,1/2/97,5,271,81.44,1
306,30.99,1,1/2/97,1,271,NA,0
307,28.45,1,2/27/97,2,215,NA,0
308,12.77,1,1/2/97,1,271,NA,0
309,52.5,1,3/16/97,3,198,NA,0
310,39.32,1,1/7/97,3,266,NA,0
311,69.25,1,1/2/97,5,271,NA,0
312,87.74,1,1/2/97,2,271,14.99,1
313,161.3636364,11,9/1/97,11.36363636,29,73.03222222,1
314,77.04333333,3,1/13/97,5,260,NA,0
315,29.62,3,3/15/97,1.666666667,199,NA,0
316,18.0575,4,7/31/97,1.5,61,NA,0
317,46.77,1,1/2/97,1,271,46.095,1
318,19.255,2,1/29/97,1.5,244,25.98,1
319,20.845,2,1/7/97,1.5,266,NA,0
320,9.99,1,1/2/97,1,271,NA,0
321,103.05,1,1/2/97,6,271,NA,0
322,26.165,2,7/5/97,1.5,87,NA,0
323,35.51,4,9/24/97,2.5,6,54.142,1
324,29.505,2,9/27/97,2.5,3,NA,0
325,72.82,1,1/2/97,6,271,NA,0
326,14.37,1,1/2/97,1,271,NA,0
327,40.7,1,1/2/97,3,271,NA,0
328,35.81375,8,9/25/97,2.125,5,25.381875,1
329,18.57333333,3,1/21/97,1.333333333,252,19.125,1
330,14.96,1,1/2/97,1,271,NA,0
331,16.36,1,1/2/97,1,271,NA,0
332,15.36,1,1/2/97,1,271,NA,0
333,15.9,1,1/2/97,1,271,NA,0
334,40.11,1,1/2/97,3,271,NA,0
335,13.365,2,1/6/97,1,267,NA,0
336,11.77,1,1/2/97,1,271,NA,0
337,23.54,1,1/21/97,2,252,14.49,1
338,25.74,1,1/2/97,2,271,NA,0
339,81.8475,4,9/25/97,5.75,5,84.45,1
340,46.3,1,1/2/97,5,271,NA,0
341,53.3,2,7/27/97,3,65,NA,0
342,17.9,1,1/2/97,1,271,NA,0
343,47.32,3,4/19/97,2.666666667,164,35.47,1
344,36.77,10,8/12/97,2.7,49,30.34571429,1
345,11.77,1,1/2/97,1,271,78.48,1
346,26.76,1,1/2/97,2,271,NA,0
347,15.36,1,1/2/97,1,271,NA,0
348,48.76,2,7/26/97,1.5,66,NA,0
349,44.88,1,1/2/97,3,271,NA,0
350,46.37,1,1/2/97,1,271,NA,0
351,8.77,1,1/2/97,1,271,NA,0
352,8.38,2,2/5/97,1,237,NA,0
353,34.615,2,2/12/97,2,230,NA,0
354,14.99,1,1/2/97,1,271,NA,0
355,41.405,2,1/7/97,3,266,NA,0
356,28.74,1,1/2/97,2,271,NA,0
357,45.725,2,2/5/97,2.5,237,NA,0
358,36.48,1,1/2/97,2,271,20.61,1
359,76.45,1,1/2/97,5,271,NA,0
360,14.96,2,1/8/97,1,265,18.2075,1
361,13.97,1,1/2/97,1,271,23.76,1
362,14.5,4,1/2/97,1,271,NA,0
363,18.48,2,1/3/97,1,270,NA,0
364,29.97,1,1/6/97,1,267,NA,0
365,26.78428571,7,9/27/97,1.857142857,3,22.062,1
366,15.36,1,1/2/97,1,271,NA,0
367,44.77,1,1/2/97,1,271,NA,0
368,60.64,1,1/2/97,4,271,74.94,1
369,7.98,1,1/2/97,1,271,NA,0
370,51.14,3,8/30/97,3.666666667,31,40.47,1
371,14.99,1,1/2/97,1,271,20.48,1
372,18.365,2,4/22/97,1,161,NA,0
373,30.83625,8,7/26/97,2.25,66,15.49,1
374,31.22,2,2/2/97,2.5,240,37.076,1
375,26.8525,4,8/10/97,1.25,51,NA,0
376,32.825,2,7/2/97,2,90,25.16,1
377,38.5,1,1/2/97,3,271,NA,0
378,14.9,2,2/3/97,1,239,NA,0
379,22.4625,4,2/2/97,1.25,240,NA,0
380,47.08,1,1/4/97,4,269,NA,0
381,16.80333333,3,7/9/97,1,83,NA,0
382,12.49,1,1/2/97,1,271,NA,0
383,30.72,1,1/2/97,2,271,NA,0
384,11.97,1,1/2/97,1,271,NA,0
385,10.89,2,6/22/97,1,100,NA,0
386,18.99,1,1/2/97,1,271,NA,0
387,47.86857143,7,9/14/97,3,16,84.34166667,1
388,10.77,1,1/2/97,1,271,NA,0
389,64.4875,4,9/12/97,3.25,18,52.30166667,1
390,15.36,1,1/4/97,1,269,NA,0
391,32,1,1/3/97,2,270,NA,0
392,58.91,1,1/2/97,3,271,NA,0
393,29.16,1,1/2/97,2,271,NA,0
394,28.375,2,1/18/97,1.5,255,NA,0
395,26.99,1,1/2/97,1,271,NA,0
396,47.12333333,3,7/8/97,2.333333333,84,29.8125,1
397,52.315,2,5/1/97,2.5,152,NA,0
398,38.31285714,14,9/29/97,2.928571429,1,34.43166667,1
399,31.16,2,2/5/97,2,237,NA,0
400,21.042,5,7/25/97,1.4,67,11.6375,1
401,41.74,1,1/2/97,2,271,NA,0
402,12.37,2,1/4/97,1,269,NA,0
403,11.77,1,1/2/97,1,271,NA,0
404,19.7,6,7/18/97,1.333333333,74,20.98,1
405,14.99,1,1/2/97,1,271,NA,0
406,40.52,2,6/25/97,3,97,46.05666667,1
407,21.74,1,1/6/97,2,267,NA,0
408,25.99,1,1/2/97,1,271,NA,0
409,14.37,1,1/2/97,1,271,NA,0
410,29.98,1,1/2/97,2,271,12.99,1
411,88.834,15,9/16/97,4.533333333,14,87.358,1
412,35.31,1,1/10/97,3,263,10.49,1
413,25.94,1,1/2/97,2,271,NA,0
414,43.95,1,2/12/97,3,230,NA,0
415,31.99,1,1/2/97,1,271,NA,0
416,47.98,1,1/2/97,2,271,NA,0
417,53.745,4,9/4/97,3.25,26,NA,0
418,24.98,1,1/2/97,2,271,NA,0
419,108.72,1,1/2/97,4,271,NA,0
420,16.36,1,1/2/97,1,271,NA,0
421,41.366,5,7/1/97,3.2,91,NA,0
422,43.064,5,5/14/97,3.2,139,NA,0
423,24.99,1,1/2/97,1,271,NA,0
424,33.875,4,6/24/97,1.5,98,39.61,1
425,14.99,1,1/2/97,1,271,NA,0
426,10.99,1,1/2/97,1,271,NA,0
427,11.97,1,1/2/97,1,271,NA,0
428,14.99,1,1/2/97,1,271,NA,0
429,21.455,2,7/11/97,1.5,81,59.49,1
430,57.05,2,7/1/97,4,91,34.725,1
431,50.67,4,5/20/97,4.25,133,50.465,1
432,64.44,1,1/2/97,5,271,NA,0
433,41.35,3,6/22/97,2,100,40.2225,1
434,33.31,1,1/2/97,3,271,NA,0
435,40.7,1,1/2/97,3,271,NA,0
436,31.654,5,5/29/97,2,124,NA,0
437,28.13,1,1/2/97,2,271,NA,0
438,24.96,1,1/2/97,2,271,NA,0
439,41.11,1,1/2/97,3,271,NA,0
440,14.96,1,1/2/97,1,271,NA,0
441,24.96833333,6,9/16/97,2.166666667,14,17.36,1
442,14.79,1,1/2/97,1,271,NA,0
443,19.99,2,1/17/97,1,256,NA,0
444,13.97,1,1/2/97,1,271,NA,0
445,24.54166667,6,8/23/97,1.833333333,38,26.725,1
446,21.3125,4,7/31/97,1.25,61,13.49,1
447,19.94,1,1/2/97,2,271,NA,0
448,36.71,1,1/2/97,3,271,NA,0
449,42.495,2,1/18/97,3.5,255,NA,0
450,29.83,2,6/9/97,2.5,113,NA,0
451,24.99,1,1/18/97,1,255,NA,0
452,12.37,2,3/6/97,1,208,NA,0
453,90.58,2,5/20/97,7,133,NA,0
454,26.59666667,3,6/3/97,1.333333333,119,12.49,1
455,0,1,1/2/97,1,271,NA,0
456,71.824,5,9/14/97,5.6,16,59.705,1
457,169.7533333,3,1/10/97,12.33333333,263,NA,0
458,10.075,2,7/26/97,1,66,17.9875,1
459,23.99,1,1/3/97,1,270,NA,0
460,32.48,2,1/22/97,2,251,NA,0
461,55.07,1,3/13/97,4,201,109.41,1
462,17.3,1,1/2/97,1,271,NA,0
463,34.525,2,1/11/97,2.5,262,NA,0
464,53.085,2,6/18/97,3,104,22.33333333,1
465,42.98,2,4/7/97,2,176,NA,0
466,36.955,2,2/27/97,2,215,NA,0
467,13.865,2,1/15/97,1,258,NA,0
468,26.28333333,3,9/14/97,2,16,NA,0
469,11.97,1,1/2/97,1,271,NA,0
470,15.76,1,1/2/97,1,271,NA,0
471,83.895,2,2/15/97,4.5,227,NA,0
472,52.67666667,3,2/1/97,3.333333333,241,NA,0
473,34.97,1,1/2/97,3,271,NA,0
474,39.295,2,4/29/97,3.5,154,43.47,1
475,43.13,1,1/2/97,2,271,NA,0
476,13.97,1,1/2/97,1,271,NA,0
477,21.99,1,1/2/97,1,271,NA,0
478,14.37,1,1/2/97,1,271,NA,0
479,17.9,1,1/2/97,1,271,NA,0
480,13.99,1,1/2/97,1,271,NA,0
481,13.97,1,1/2/97,1,271,NA,0
482,15.76,1,1/3/97,2,270,NA,0
483,24.99,1,1/17/97,1,256,NA,0
484,29.33,1,1/10/97,2,263,22.04,1
485,63.31181818,11,7/14/97,4.363636364,78,114.5875,1
486,20,1,1/2/97,1,271,NA,0
487,11.77,1,1/3/97,1,270,NA,0
488,17.3,1,1/2/97,1,271,15.49,1
489,30.485,2,1/17/97,2,256,NA,0
490,11.77,1,1/2/97,1,271,15.99,1
491,15.76,1,1/2/97,1,271,NA,0
492,19.95666667,9,9/16/97,1.666666667,14,23.76,1
493,28.34,1,1/2/97,2,271,NA,0
494,13.77,1,1/2/97,1,271,NA,0
495,36.035,2,1/5/97,2.5,268,NA,0
496,26.13,1,1/2/97,2,271,12.99,1
497,11.77,1,1/2/97,1,271,NA,0
498,60.065,2,1/25/97,4,248,NA,0
499,72.73,8,9/24/97,6,6,37.22264706,1
500,21.74,1,1/2/97,2,271,NA,0
501,30.39,1,1/2/97,2,271,NA,0
502,15.36,1,1/2/97,1,271,16.99,1
503,15.36,1,1/2/97,1,271,NA,0
504,29.155,2,3/24/97,1.5,190,138.42,1
505,21.945,2,7/27/97,1.5,65,12.99,1
506,25.78,1,3/8/97,1,206,NA,0
507,13.97,1,1/2/97,1,271,NA,0
508,13.265,2,6/12/97,1,110,NA,0
509,15.7,1,1/2/97,1,271,NA,0
510,11.99,1,1/2/97,1,271,NA,0
511,28.76,1,1/2/97,2,271,NA,0
512,11.77,1,1/2/97,1,271,NA,0
513,12.97,1,1/7/97,1,266,NA,0
514,11.77,1,1/2/97,1,271,NA,0
515,19.94,1,1/2/97,2,271,NA,0
516,14.99,1,1/2/97,1,271,NA,0
517,9.98,1,1/3/97,1,270,NA,0
518,14.96,1,1/3/97,1,270,NA,0
519,30.08,3,4/12/97,2,171,26.38,1
520,24.98,1,1/3/97,2,270,NA,0
521,27.13,1,1/3/97,2,270,NA,0
522,23.99,1,1/3/97,1,270,NA,0
523,27.56,4,5/5/97,1.75,148,6.49,1
524,11.99,1,1/3/97,1,270,NA,0
525,20.38,2,9/12/97,1,18,NA,0
526,52.68,1,1/3/97,4,270,NA,0
527,14.79,1,1/8/97,1,265,NA,0
528,71.44,1,1/3/97,5,270,NA,0
529,8.97,1,1/3/97,1,270,NA,0
530,11.97,1,1/3/97,1,270,NA,0
531,58.99,1,1/3/97,1,270,NA,0
532,15.9,1,1/3/97,1,270,NA,0
533,29.58,1,1/3/97,2,270,NA,0
534,11.77,1,1/3/97,1,270,NA,0
535,13.97,1,2/12/97,1,230,NA,0
536,26.69,1,1/3/97,2,270,NA,0
537,14.37,1,1/3/97,1,270,NA,0
538,9.99,1,1/3/97,1,270,NA,0
539,16.62,2,6/17/97,1,105,NA,0
540,13.97,1,1/3/97,1,270,NA,0
541,51.3,1,1/3/97,4,270,NA,0
542,45.67,1,1/3/97,4,270,NA,0
543,37.98,1,1/3/97,2,270,NA,0
544,14.96,1,3/6/97,1,208,NA,0
545,76.30333333,3,8/30/97,5.333333333,31,92.43,1
546,138.83,1,1/3/97,10,270,136.6575,1
547,25.78111111,9,5/30/97,1.666666667,123,26.48,1
548,18.81666667,3,4/24/97,1.666666667,159,19.002,1
549,35.72,2,4/16/97,2,167,NA,0
550,23.95,1,1/3/97,3,270,NA,0
551,125.02,1,1/3/97,6,270,NA,0
552,24.96,1,1/3/97,2,270,NA,0
553,15.75,1,1/3/97,2,270,NA,0
554,60.27,1,1/7/97,5,266,NA,0
555,39.48,1,1/3/97,2,270,NA,0
556,101.14,2,1/17/97,8.5,256,NA,0
557,29.6,1,1/4/97,2,269,NA,0
558,49.67,1,1/3/97,4,270,NA,0
559,106.98,1,1/5/97,8,268,68.145,1
560,44.97,1,1/3/97,3,270,NA,0
561,25.11333333,3,5/15/97,1.333333333,138,35.73375,1
562,11.965,2,6/23/97,1,99,NA,0
563,26.2,2,6/24/97,1,98,NA,0
564,28.22714286,14,9/1/97,1.785714286,29,26.269,1
565,59.49,2,4/15/97,4,168,NA,0
566,48.22,2,7/22/97,2.5,70,29.975,1
567,86.01,1,1/3/97,6,270,51.465,1
568,11.77,2,6/10/97,1,112,27.73,1
569,29.63,2,8/5/97,2,56,41.97,1
570,33.71,1,1/11/97,3,262,91.23,1
571,26.75,2,2/12/97,2,230,NA,0
