"","Profit99","Online99","Age99","Inc99","Tenure99","District99","ID","CumProfit","CumProfitPercent","PercentCust"
"25882",1921,0,NA,NA,11.58,1300,25882,65787,"2%","0.1%"
"24865",1911,0,6,4,25.16,1200,24865,67698,"2%","0.1%"
"15869",1907,0,7,4,30.08,1200,15869,69605,"2%","0.1%"
"27429",1895,0,4,6,24.66,1200,27429,71500,"2%","0.1%"
"3379",1894,0,NA,NA,12.5,1200,3379,73394,"2%","0.1%"
"20936",1887,0,6,9,35.33,1200,20936,75281,"2%","0.1%"
"17606",1867,0,4,9,23.33,1200,17606,77148,"2%","0.1%"
"6196",1858,0,4,1,1.58,1200,6196,79006,"2%","0.1%"
"19527",1858,0,4,8,0.75,1200,19527,80864,"2%","0.1%"
"28276",1858,1,5,7,2.75,1100,28276,82722,"2%","0.1%"
"9833",1855,0,NA,NA,1.66,1200,9833,84577,"2%","0.1%"
"3215",1854,0,6,6,12.75,1200,3215,86431,"2%","0.1%"
"22237",1853,0,6,8,20.5,1300,22237,88284,"3%","0.1%"
"29350",1853,1,NA,NA,18.5,1200,29350,90137,"3%","0.1%"
"24371",1852,0,NA,NA,28.58,1200,24371,91989,"3%","0.1%"
"22263",1849,0,6,9,7,1200,22263,93838,"3%","0.1%"
"26769",1848,0,NA,NA,32.75,1200,26769,95686,"3%","0.1%"
"24006",1835,0,NA,NA,7.5,1200,24006,97521,"3%","0.2%"
"15656",1825,0,5,8,12.66,1200,15656,99346,"3%","0.2%"
"16780",1824,0,4,7,5.33,1200,16780,101170,"3%","0.2%"
"436",1818,0,7,1,30.08,1200,436,102988,"3%","0.2%"
"30734",1818,0,3,6,2.75,1200,30734,104806,"3%","0.2%"
"12612",1817,0,NA,6,10.08,1300,12612,106623,"3%","0.2%"
"1665",1809,0,6,4,22.91,1200,1665,108432,"3%","0.2%"
"25258",1801,0,2,9,5.25,1200,25258,110233,"3%","0.2%"
"24195",1800,0,7,6,13.16,1200,24195,112033,"3%","0.2%"
"15727",1794,0,NA,NA,11.66,1200,15727,113827,"3%","0.2%"
"17362",1786,0,7,6,29.25,1300,17362,115613,"3%","0.2%"
"16736",1783,0,NA,NA,25.75,1200,16736,117396,"3%","0.2%"
"23048",1783,1,5,6,8.58,1200,23048,119179,"3%","0.2%"
"3940",1781,0,3,9,7.83,1200,3940,120960,"3%","0.2%"
"2602",1773,0,NA,NA,7.41,1200,2602,122733,"3%","0.2%"
"20112",1773,0,5,6,3.75,1300,20112,124506,"4%","0.2%"
"26096",1765,0,6,9,25.91,1200,26096,126271,"4%","0.2%"
"25190",1763,0,NA,NA,19.75,1300,25190,128034,"4%","0.2%"
"11963",1761,1,4,9,9.08,1200,11963,129795,"4%","0.2%"
"11989",1761,0,7,6,24.41,1200,11989,131556,"4%","0.2%"
"5703",1748,0,2,9,10.83,1200,5703,133304,"4%","0.2%"
"9913",1748,1,5,9,31,1200,9913,135052,"4%","0.2%"
"7172",1743,0,3,9,1.75,1200,7172,136795,"4%","0.2%"
"11458",1741,0,NA,NA,22.08,1200,11458,138536,"4%","0.2%"
"7544",1733,0,5,9,7.58,1200,7544,140269,"4%","0.2%"
"23921",1725,0,6,5,17.41,1200,23921,141994,"4%","0.2%"
"17366",1717,0,6,8,21.33,1200,17366,143711,"4%","0.2%"
"9094",1711,0,4,9,21.33,1200,9094,145422,"4%","0.2%"
"21664",1710,0,4,7,22.91,1200,21664,147132,"4%","0.2%"
"1584",1709,0,4,9,21.83,1200,1584,148841,"4%","0.2%"
"9731",1707,0,7,2,31.16,1200,9731,150548,"4%","0.2%"
"8844",1705,1,4,3,10.66,1300,8844,152253,"4%","0.2%"
"29413",1697,0,5,6,29.41,1200,29413,153950,"4%","0.2%"
"3489",1696,0,7,1,16.91,1300,3489,155646,"4%","0.2%"
"28686",1696,0,3,9,2.66,1200,28686,157342,"4%","0.3%"
"28892",1696,0,7,3,0.83,1200,28892,159038,"5%","0.3%"
"13194",1692,1,NA,NA,12.08,1200,13194,160730,"5%","0.3%"
"20843",1674,0,4,7,18.41,1200,20843,162404,"5%","0.3%"
"8286",1671,0,NA,NA,5.5,1300,8286,164075,"5%","0.3%"
"30134",1671,1,NA,NA,6.58,1200,30134,165746,"5%","0.3%"
"7188",1669,0,5,7,11.41,1200,7188,167415,"5%","0.3%"
"30942",1667,0,6,1,23.83,1200,30942,169082,"5%","0.3%"
"4767",1666,0,7,3,19,1100,4767,170748,"5%","0.3%"
"16554",1662,0,NA,NA,0.91,1200,16554,172410,"5%","0.3%"
"18455",1660,0,NA,NA,13.33,1200,18455,174070,"5%","0.3%"
"10781",1657,0,5,8,10.66,1200,10781,175727,"5%","0.3%"
"21340",1657,0,4,8,23.91,1200,21340,177384,"5%","0.3%"
"27471",1653,1,4,9,19.25,1200,27471,179037,"5%","0.3%"
"9006",1652,0,6,6,33.5,1200,9006,180689,"5%","0.3%"
"10577",1648,0,4,9,3.83,1200,10577,182337,"5%","0.3%"
"22199",1643,0,NA,NA,23.25,1200,22199,183980,"5%","0.3%"
"24654",1643,0,7,9,19.58,1300,24654,185623,"5%","0.3%"
"12216",1642,0,3,9,3.08,1200,12216,187265,"5%","0.3%"
"26234",1635,0,6,6,20.16,1200,26234,188900,"5%","0.3%"
"17585",1632,0,4,8,10.66,1200,17585,190532,"5%","0.3%"
"15866",1631,0,NA,NA,36.41,1200,15866,192163,"5%","0.3%"
"31297",1625,0,3,7,22.08,1200,31297,193788,"5%","0.3%"
"5892",1619,0,7,4,5.16,1200,5892,195407,"6%","0.3%"
"21579",1614,0,4,9,24.16,1200,21579,197021,"6%","0.3%"
"27193",1614,0,5,7,13,1300,27193,198635,"6%","0.3%"
"21342",1608,0,3,6,17.33,1200,21342,200243,"6%","0.4%"
"9469",1606,0,7,6,9.5,1200,9469,201849,"6%","0.4%"
"5731",1602,1,5,7,11.83,1300,5731,203451,"6%","0.4%"
"21083",1601,0,NA,NA,23.91,1200,21083,205052,"6%","0.4%"
"22602",1600,0,4,9,13.08,1200,22602,206652,"6%","0.4%"
"965",1599,0,5,6,25.83,1200,965,208251,"6%","0.4%"
"10672",1597,1,NA,NA,9.16,1200,10672,209848,"6%","0.4%"
"15158",1597,0,5,6,22.91,1100,15158,211445,"6%","0.4%"
"23895",1595,0,NA,NA,0.41,1100,23895,213040,"6%","0.4%"
"26599",1595,0,7,4,17.08,1100,26599,214635,"6%","0.4%"
"6084",1594,0,NA,NA,13.5,1300,6084,216229,"6%","0.4%"
"10036",1594,1,6,9,12.83,1200,10036,217823,"6%","0.4%"
"23716",1589,0,NA,NA,25.41,1200,23716,219412,"6%","0.4%"
"16621",1588,1,3,9,17.16,1200,16621,221000,"6%","0.4%"
"26291",1587,0,5,6,12.91,1300,26291,222587,"6%","0.4%"
"15281",1583,0,NA,NA,18.5,1200,15281,224170,"6%","0.4%"
"11214",1582,0,4,9,0.41,1200,11214,225752,"6%","0.4%"
"19859",1580,0,5,5,18.58,1200,19859,227332,"6%","0.4%"
"21031",1570,0,4,7,24.08,1200,21031,228902,"6%","0.4%"
"6619",1567,0,4,9,21,1200,6619,230469,"7%","0.4%"
"9761",1565,1,3,8,7.5,1200,9761,232034,"7%","0.4%"
"1212",1562,0,5,6,2.83,1300,1212,233596,"7%","0.4%"
"18051",1562,0,NA,NA,6,1200,18051,235158,"7%","0.4%"
"8916",1561,0,3,8,17.5,1300,8916,236719,"7%","0.4%"
"13893",1561,0,NA,NA,7.5,1200,13893,238280,"7%","0.4%"
"15321",1559,0,3,7,2.91,1300,15321,239839,"7%","0.4%"
"7079",1554,0,5,2,28,1100,7079,241393,"7%","0.4%"
"8355",1553,0,7,5,30.08,1200,8355,242946,"7%","0.4%"
"2229",1551,0,NA,NA,7.5,1200,2229,244497,"7%","0.4%"
"1361",1550,1,5,8,10.5,1200,1361,246047,"7%","0.4%"
"24375",1546,0,NA,NA,5.25,1200,24375,247593,"7%","0.4%"
"12073",1544,0,4,9,23.33,1200,12073,249137,"7%","0.4%"
"6085",1543,0,2,6,8.33,1200,6085,250680,"7%","0.4%"
"22016",1542,1,NA,NA,8.66,1200,22016,252222,"7%","0.4%"
"9466",1541,0,4,8,12,1200,9466,253763,"7%","0.4%"
"1479",1540,0,NA,NA,12.91,1200,1479,255303,"7%","0.4%"
"16299",1538,0,3,9,6.41,1200,16299,256841,"7%","0.4%"
"18827",1537,0,5,6,18.58,1200,18827,258378,"7%","0.4%"
"30283",1537,0,7,3,41.16,1300,30283,259915,"7%","0.5%"
"27177",1536,0,4,6,17.33,1200,27177,261451,"7%","0.5%"
"24582",1535,0,5,6,7.91,1300,24582,262986,"7%","0.5%"
"22570",1525,0,7,2,7.33,1100,22570,264511,"7%","0.5%"
"5397",1523,0,NA,NA,15.41,1200,5397,266034,"8%","0.5%"
"22297",1519,0,NA,NA,11.83,1200,22297,267553,"8%","0.5%"
"243",1517,0,4,9,21.83,1200,243,269070,"8%","0.5%"
"19911",1517,0,3,6,16.16,1200,19911,270587,"8%","0.5%"
"12923",1515,1,6,9,18.75,1300,12923,272102,"8%","0.5%"
"25790",1513,0,5,6,19.75,1200,25790,273615,"8%","0.5%"
"16347",1509,0,6,6,8.66,1200,16347,275124,"8%","0.5%"
"2008",1508,0,2,5,9,1100,2008,276632,"8%","0.5%"
"26669",1507,0,7,4,40.91,1300,26669,278139,"8%","0.5%"
"9342",1504,0,NA,NA,8.58,1200,9342,279643,"8%","0.5%"
"18631",1503,0,3,9,3.16,1200,18631,281146,"8%","0.5%"
"27818",1503,0,6,7,22.08,1300,27818,282649,"8%","0.5%"
"28116",1502,0,5,9,23.58,1200,28116,284151,"8%","0.5%"
"4134",1500,0,NA,NA,6.66,1200,4134,285651,"8%","0.5%"
"2837",1499,0,3,9,2.66,1200,2837,287150,"8%","0.5%"
"18881",1495,0,7,6,20.5,1100,18881,288645,"8%","0.5%"
"10093",1493,0,7,6,26.16,1200,10093,290138,"8%","0.5%"
"13216",1492,0,NA,NA,22.08,1200,13216,291630,"8%","0.5%"
"8922",1487,0,3,8,5,1100,8922,293117,"8%","0.5%"
"1502",1477,0,6,9,38.5,1200,1502,294594,"8%","0.5%"
"8000",1474,0,7,NA,27.91,1200,8000,296068,"8%","0.5%"
"3477",1471,0,NA,NA,21.75,1200,3477,297539,"8%","0.5%"
"11099",1470,0,4,3,8.5,1200,11099,299009,"8%","0.5%"
"25015",1470,0,NA,NA,15.91,1200,25015,300479,"9%","0.5%"
"26487",1470,0,NA,NA,6.58,1200,26487,301949,"9%","0.5%"
"1959",1469,0,4,9,25.91,1200,1959,303418,"9%","0.5%"
"11564",1469,0,3,9,5.41,1200,11564,304887,"9%","0.5%"
"4852",1468,0,3,9,9.66,1200,4852,306355,"9%","0.5%"
"16067",1466,0,4,5,8.5,1200,16067,307821,"9%","0.5%"
"14857",1464,1,4,8,23.75,1200,14857,309285,"9%","0.5%"
"29269",1460,1,3,5,16.75,1300,29269,310745,"9%","0.6%"
"19342",1459,0,5,4,11.5,1200,19342,312204,"9%","0.6%"
"17398",1455,0,4,7,4.41,1200,17398,313659,"9%","0.6%"
"24036",1455,1,3,9,9.08,1200,24036,315114,"9%","0.6%"
"13799",1449,1,NA,NA,0.66,1100,13799,316563,"9%","0.6%"
"25838",1447,0,4,8,22.41,1200,25838,318010,"9%","0.6%"
"9307",1445,0,7,6,35.66,1200,9307,319455,"9%","0.6%"
"14161",1440,0,NA,NA,8.16,1300,14161,320895,"9%","0.6%"
"9964",1436,0,5,1,24.25,1100,9964,322331,"9%","0.6%"
"21167",1434,0,7,3,16,1200,21167,323765,"9%","0.6%"
"10017",1433,1,3,7,0.5,1200,10017,325198,"9%","0.6%"
"19230",1433,0,5,9,15.25,1200,19230,326631,"9%","0.6%"
"16404",1432,0,5,7,13.41,1200,16404,328063,"9%","0.6%"
"26142",1432,0,3,9,2.58,1200,26142,329495,"9%","0.6%"
"20589",1431,0,6,4,19.16,1200,20589,330926,"9%","0.6%"
"11688",1430,0,6,9,10.5,1200,11688,332356,"9%","0.6%"
"19191",1429,0,3,9,16.66,1200,19191,333785,"9%","0.6%"
"7599",1428,0,3,9,6.08,1200,7599,335213,"10%","0.6%"
"12212",1428,0,NA,NA,12.75,1200,12212,336641,"10%","0.6%"
"18038",1428,1,4,3,7.41,1200,18038,338069,"10%","0.6%"
"9300",1421,0,5,6,17.16,1200,9300,339490,"10%","0.6%"
"8239",1418,0,4,9,5.75,1200,8239,340908,"10%","0.6%"
"13890",1418,0,NA,NA,11.66,1100,13890,342326,"10%","0.6%"
"31424",1417,1,NA,NA,30.08,1200,31424,343743,"10%","0.6%"
"1462",1414,0,NA,NA,1.91,1200,1462,345157,"10%","0.6%"
"13114",1412,1,3,9,3.33,1200,13114,346569,"10%","0.6%"
"25548",1412,0,NA,NA,16.25,1200,25548,347981,"10%","0.6%"
"4842",1411,0,3,9,16.91,1200,4842,349392,"10%","0.6%"
"8378",1411,0,3,9,14.83,1200,8378,350803,"10%","0.6%"
"14903",1407,0,4,1,8.41,1100,14903,352210,"10%","0.6%"
"24165",1407,0,7,3,5.08,1200,24165,353617,"10%","0.6%"
"9707",1403,0,3,7,30.08,1200,9707,355020,"10%","0.7%"
"28326",1402,0,4,2,8.08,1100,28326,356422,"10%","0.7%"
"22830",1400,0,NA,NA,20.16,1200,22830,357822,"10%","0.7%"
"4979",1395,0,3,8,19.33,1200,4979,359217,"10%","0.7%"
"30870",1395,0,7,7,4.75,1200,30870,360612,"10%","0.7%"
"24658",1394,0,4,3,21.83,1200,24658,362006,"10%","0.7%"
"3410",1392,0,6,3,34.25,1300,3410,363398,"10%","0.7%"
"5905",1392,0,5,2,24.75,1300,5905,364790,"10%","0.7%"
"15783",1392,0,NA,NA,5.66,1200,15783,366182,"10%","0.7%"
"22110",1390,0,4,6,20.41,1200,22110,367572,"10%","0.7%"
"15331",1388,0,6,3,16.41,1200,15331,368960,"10%","0.7%"
"26278",1388,0,7,3,12.33,1200,26278,370348,"10%","0.7%"
"19564",1387,0,7,3,22.75,1200,19564,371735,"11%","0.7%"
"7279",1386,1,2,9,7.41,1200,7279,373121,"11%","0.7%"
"17842",1386,0,4,9,15.75,1200,17842,374507,"11%","0.7%"
"21619",1383,0,6,7,25,1200,21619,375890,"11%","0.7%"
"17882",1381,0,7,9,19.75,1200,17882,377271,"11%","0.7%"
"608",1379,0,5,9,13.41,1200,608,378650,"11%","0.7%"
"7699",1379,0,4,9,9.5,1100,7699,380029,"11%","0.7%"
"8159",1379,0,5,6,31.58,1100,8159,381408,"11%","0.7%"
"25113",1379,0,NA,NA,0.91,1200,25113,382787,"11%","0.7%"
"25682",1378,0,NA,NA,1.75,1300,25682,384165,"11%","0.7%"
"7865",1376,1,3,6,5.25,1200,7865,385541,"11%","0.7%"
"28029",1373,0,4,9,2.58,1200,28029,386914,"11%","0.7%"
"25230",1371,0,4,6,16,1200,25230,388285,"11%","0.7%"
"5176",1370,0,4,9,4.16,1200,5176,389655,"11%","0.7%"
"18194",1370,0,7,1,37.16,1100,18194,391025,"11%","0.7%"
"15210",1369,1,3,7,4.41,1200,15210,392394,"11%","0.7%"
"538",1364,0,NA,NA,26.08,1100,538,393758,"11%","0.7%"
"21863",1364,1,5,6,10.41,1200,21863,395122,"11%","0.7%"
"22303",1364,0,3,6,25,1200,22303,396486,"11%","0.8%"
"560",1362,0,NA,NA,16.91,1200,560,397848,"11%","0.8%"
"6828",1360,1,4,9,14.58,1200,6828,399208,"11%","0.8%"
"23318",1360,1,NA,NA,14.58,1200,23318,400568,"11%","0.8%"
"20738",1359,0,NA,NA,18.83,1100,20738,401927,"11%","0.8%"
"14564",1357,0,4,9,29.75,1200,14564,403284,"11%","0.8%"
"27900",1357,0,4,8,2.41,1200,27900,404641,"11%","0.8%"
"13186",1356,0,6,5,28.16,1200,13186,405997,"12%","0.8%"
"19000",1356,0,6,6,31.58,1100,19000,407353,"12%","0.8%"
"13644",1355,0,5,5,9.83,1300,13644,408708,"12%","0.8%"
"18130",1355,1,5,1,22.83,1200,18130,410063,"12%","0.8%"
"27928",1354,0,6,6,3.16,1300,27928,411417,"12%","0.8%"
"2610",1352,0,5,9,27.25,1200,2610,412769,"12%","0.8%"
"18835",1352,0,4,6,22.41,1100,18835,414121,"12%","0.8%"
"4747",1351,0,4,6,23.16,1100,4747,415472,"12%","0.8%"
"10115",1349,0,4,9,12.75,1200,10115,416821,"12%","0.8%"
"14374",1349,0,NA,NA,13.16,1200,14374,418170,"12%","0.8%"
"20657",1348,0,NA,NA,1,1200,20657,419518,"12%","0.8%"
"29262",1347,0,7,1,19.16,1200,29262,420865,"12%","0.8%"
"29504",1347,0,NA,NA,22.08,1200,29504,422212,"12%","0.8%"
"22670",1346,0,4,4,9.83,1200,22670,423558,"12%","0.8%"
"9271",1345,0,NA,NA,14.41,1100,9271,424903,"12%","0.8%"
"23674",1342,0,7,5,14.33,1100,23674,426245,"12%","0.8%"
"16429",1338,0,7,1,29.08,1100,16429,427583,"12%","0.8%"
"29060",1338,0,7,4,21.33,1300,29060,428921,"12%","0.8%"
"6636",1337,0,4,5,21.16,1200,6636,430258,"12%","0.8%"
"30163",1337,0,6,9,39.25,1300,30163,431595,"12%","0.8%"
"4762",1335,0,5,4,23,1100,4762,432930,"12%","0.8%"
"7123",1335,0,6,2,9.91,1200,7123,434265,"12%","0.8%"
"12302",1335,0,7,8,11.41,1200,12302,435600,"12%","0.8%"
"15884",1332,0,3,7,10.41,1200,15884,436932,"12%","0.8%"
"26615",1332,1,3,8,2.66,1200,26615,438264,"12%","0.9%"
"5977",1331,0,4,7,14.16,1200,5977,439595,"12%","0.9%"
"10836",1331,0,6,6,16.83,1200,10836,440926,"13%","0.9%"
"6215",1330,0,4,6,7.83,1200,6215,442256,"13%","0.9%"
"27816",1330,0,4,5,23.41,1200,27816,443586,"13%","0.9%"
"19166",1329,0,6,7,20.25,1200,19166,444915,"13%","0.9%"
"17615",1328,0,3,9,14.91,1200,17615,446243,"13%","0.9%"
"8992",1326,0,7,8,21.91,1200,8992,447569,"13%","0.9%"
"17343",1323,0,7,1,23.58,1100,17343,448892,"13%","0.9%"
"6096",1322,1,5,7,1.58,1200,6096,450214,"13%","0.9%"
"21268",1321,0,4,5,4.75,1200,21268,451535,"13%","0.9%"
"30228",1320,0,7,1,34.83,1200,30228,452855,"13%","0.9%"
"11783",1319,0,5,3,8,1100,11783,454174,"13%","0.9%"
"28460",1318,1,4,9,15.58,1200,28460,455492,"13%","0.9%"
"10527",1317,0,NA,NA,9.66,1200,10527,456809,"13%","0.9%"
"17108",1317,0,3,7,10.58,1200,17108,458126,"13%","0.9%"
"15357",1316,0,4,7,5.41,1200,15357,459442,"13%","0.9%"
"1581",1311,1,4,8,20,1200,1581,460753,"13%","0.9%"
"18693",1311,0,NA,NA,11.5,1200,18693,462064,"13%","0.9%"
"21219",1310,0,5,9,8.58,1200,21219,463374,"13%","0.9%"
"21751",1310,0,6,6,22.08,1200,21751,464684,"13%","0.9%"
"28813",1309,0,6,4,21.25,1300,28813,465993,"13%","0.9%"
"29566",1309,1,4,3,28.41,1200,29566,467302,"13%","0.9%"
"31557",1307,0,6,NA,7.58,1100,31557,468609,"13%","0.9%"
"15008",1306,0,7,8,21.25,1200,15008,469915,"13%","0.9%"
"12297",1305,0,3,4,18.5,1200,12297,471220,"13%","0.9%"
"16353",1305,0,5,9,18.66,1200,16353,472525,"13%","0.9%"
"4327",1301,0,3,7,8.58,1200,4327,473826,"13%","0.9%"
"17539",1299,1,2,9,1.33,1200,17539,475125,"13%","0.9%"
"20223",1298,0,2,7,3.41,1200,20223,476423,"14%","1.0%"
"9936",1295,0,7,1,16.5,1300,9936,477718,"14%","1.0%"
"22217",1295,0,3,9,16.5,1200,22217,479013,"14%","1.0%"
"30962",1295,0,4,9,21.91,1200,30962,480308,"14%","1.0%"
"26318",1293,0,NA,NA,10.25,1200,26318,481601,"14%","1.0%"
"2704",1291,0,NA,NA,6.75,1200,2704,482892,"14%","1.0%"
"20314",1290,0,5,9,30.58,1200,20314,484182,"14%","1.0%"
"12053",1288,0,7,3,18.5,1100,12053,485470,"14%","1.0%"
"19654",1286,0,5,3,12,1300,19654,486756,"14%","1.0%"
"31154",1285,0,4,4,7.58,1200,31154,488041,"14%","1.0%"
"10216",1283,0,7,8,9.75,1200,10216,489324,"14%","1.0%"
"18319",1282,0,4,9,12,1200,18319,490606,"14%","1.0%"
"3414",1281,0,7,3,7.33,1200,3414,491887,"14%","1.0%"
"8356",1281,0,7,3,10.58,1300,8356,493168,"14%","1.0%"
"4202",1279,1,3,6,4.91,1200,4202,494447,"14%","1.0%"
"360",1276,1,NA,NA,4.58,1200,360,495723,"14%","1.0%"
"19688",1276,0,2,5,3.66,1200,19688,496999,"14%","1.0%"
"5450",1275,0,3,7,7.41,1200,5450,498274,"14%","1.0%"
"13992",1272,0,NA,NA,25.25,1200,13992,499546,"14%","1.0%"
"12813",1271,0,3,7,11.25,1200,12813,500817,"14%","1.0%"
"31098",1270,0,7,8,9.58,1300,31098,502087,"14%","1.0%"
"23051",1269,0,7,3,19.16,1200,23051,503356,"14%","1.0%"
"17951",1267,0,4,6,11.16,1300,17951,504623,"14%","1.0%"
"13506",1265,0,6,8,15.5,1200,13506,505888,"14%","1.0%"
"4898",1264,0,4,9,14.5,1200,4898,507152,"14%","1.0%"
"30119",1264,0,6,2,7.66,1200,30119,508416,"14%","1.0%"
"20958",1261,0,3,9,8.91,1200,20958,509677,"14%","1.0%"
"18321",1259,0,4,9,18.41,1200,18321,510936,"14%","1.0%"
"22646",1259,0,5,7,10.83,1200,22646,512195,"15%","1.0%"
"28587",1255,0,4,9,7.91,1200,28587,513450,"15%","1.0%"
"28365",1252,0,4,5,30.08,1200,28365,514702,"15%","1.1%"
"6904",1251,0,3,9,5.41,1200,6904,515953,"15%","1.1%"
"19684",1251,0,6,9,28.58,1200,19684,517204,"15%","1.1%"
"14013",1250,0,4,1,5.5,1200,14013,518454,"15%","1.1%"
"24747",1249,0,6,7,34.33,1100,24747,519703,"15%","1.1%"
"26356",1248,1,3,9,1.33,1200,26356,520951,"15%","1.1%"
"5631",1247,0,NA,6,10.91,1200,5631,522198,"15%","1.1%"
"26431",1246,0,3,9,3.58,1200,26431,523444,"15%","1.1%"
"20532",1245,0,NA,NA,2.75,1300,20532,524689,"15%","1.1%"
"21911",1244,0,NA,NA,16.91,1200,21911,525933,"15%","1.1%"
"9130",1243,0,4,9,12.33,1200,9130,527176,"15%","1.1%"
"14700",1243,0,3,9,6.75,1200,14700,528419,"15%","1.1%"
"12127",1242,1,4,9,22.91,1200,12127,529661,"15%","1.1%"
"13027",1242,0,NA,NA,7.25,1200,13027,530903,"15%","1.1%"
"29265",1242,0,6,6,22.08,1200,29265,532145,"15%","1.1%"
"7597",1240,0,4,5,4.75,1100,7597,533385,"15%","1.1%"
"1471",1239,0,7,4,10.16,1200,1471,534624,"15%","1.1%"
"3244",1238,1,4,9,12.08,1200,3244,535862,"15%","1.1%"
"9263",1236,0,7,4,30.08,1200,9263,537098,"15%","1.1%"
"2483",1235,0,6,7,5.66,1200,2483,538333,"15%","1.1%"
"17375",1233,0,NA,NA,6.25,1100,17375,539566,"15%","1.1%"
"5681",1231,0,NA,NA,0.58,1200,5681,540797,"15%","1.1%"
"14076",1231,0,NA,NA,14.75,1200,14076,542028,"15%","1.1%"
"653",1230,0,4,9,1,1200,653,543258,"15%","1.1%"
"27029",1229,0,2,6,6.41,1300,27029,544487,"15%","1.1%"
"6178",1228,0,5,6,5.66,1300,6178,545715,"15%","1.1%"
"374",1227,0,NA,NA,10.83,1200,374,546942,"16%","1.1%"
"4001",1224,0,3,6,3.91,1200,4001,548166,"16%","1.1%"
"20687",1224,0,3,6,1.33,1200,20687,549390,"16%","1.1%"
"10212",1222,0,7,1,15.33,1200,10212,550612,"16%","1.1%"
"13091",1221,1,NA,NA,0.91,1200,13091,551833,"16%","1.1%"
"15664",1221,0,5,9,0.75,1200,15664,553054,"16%","1.1%"
"26081",1220,0,5,4,28.91,1300,26081,554274,"16%","1.1%"
"15743",1219,0,7,1,27.91,1200,15743,555493,"16%","1.1%"
"29406",1219,0,6,5,7.16,1200,29406,556712,"16%","1.2%"
"10726",1218,0,4,6,4.16,1200,10726,557930,"16%","1.2%"
"22527",1217,0,NA,NA,20.41,1200,22527,559147,"16%","1.2%"
"11455",1215,0,3,9,22.41,1200,11455,560362,"16%","1.2%"
"24033",1215,0,3,8,4.41,1200,24033,561577,"16%","1.2%"
"16149",1214,0,NA,NA,29,1200,16149,562791,"16%","1.2%"
"8271",1212,0,3,3,3,1200,8271,564003,"16%","1.2%"
"24616",1212,0,6,9,7.33,1200,24616,565215,"16%","1.2%"
"2079",1210,1,5,3,15.08,1200,2079,566425,"16%","1.2%"
"11226",1210,0,6,8,18.58,1200,11226,567635,"16%","1.2%"
"11333",1210,0,NA,NA,11.83,1200,11333,568845,"16%","1.2%"
"9033",1209,0,3,9,13.83,1200,9033,570054,"16%","1.2%"
"16633",1209,0,5,9,17.33,1200,16633,571263,"16%","1.2%"
"29000",1208,0,5,7,4.75,1200,29000,572471,"16%","1.2%"
"8445",1207,0,6,3,5.75,1100,8445,573678,"16%","1.2%"
"28859",1207,0,NA,NA,19.83,1300,28859,574885,"16%","1.2%"
"5506",1206,0,4,6,18.33,1200,5506,576091,"16%","1.2%"
